Region,Country,Emissions,Source,Type,Segment,Reason,Base Year,Emissions Rank,Energy Rank,Notes,Collection Year
Central and South America,Ecuador,2.47,IEA,Energy,Bioenergy,All,2023,56,39,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Central and South America,Ecuador,5.92,IEA,Energy,Other from oil and gas,All,2023,56,39,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Central and South America,Ecuador,309.74,IEA,Energy,Total,All,2023,56,39,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Central and South America,Guyana,0.3600000143051,IEA,Energy,Bioenergy,All,2023,84,67,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Central and South America,Guyana,0.51999998093,IEA,Energy,Other from oil and gas,All,2023,84,67,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Central and South America,Guyana,68.97,IEA,Energy,Total,All,2023,84,67,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Central and South America,Paraguay,14.72,IEA,Energy,Bioenergy,All,2023,52,81,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Central and South America,Paraguay,0,IEA,Energy,Other from coal,All,2023,52,81,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Central and South America,Paraguay,1.43,IEA,Energy,Other from oil and gas,All,2023,52,81,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Central and South America,Paraguay,16.15,IEA,Energy,Total,All,2023,52,81,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Central and South America,Peru,29.77,IEA,Energy,Bioenergy,All,2023,49,52,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Central and South America,Peru,0.140000000596046,IEA,Energy,Other from coal,All,2023,49,52,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Central and South America,Peru,8.02,IEA,Energy,Other from oil and gas,All,2023,49,52,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Central and South America,Peru,169.88,IEA,Energy,Total,All,2023,49,52,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Central and South America,Trinidad and Tobago,0.13,IEA,Energy,Bioenergy,All,2023,79,55,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Central and South America,Trinidad and Tobago,0.84,IEA,Energy,Other from oil and gas,All,2023,79,55,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Central and South America,Trinidad and Tobago,152.26,IEA,Energy,Total,All,2023,79,55,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Central and South America,Uruguay,6.55,IEA,Energy,Bioenergy,All,2023,58,86,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Central and South America,Uruguay,0,IEA,Energy,Other from coal,All,2023,58,86,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Central and South America,Uruguay,1.13,IEA,Energy,Other from oil and gas,All,2023,58,86,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Central and South America,Uruguay,7.75,IEA,Energy,Total,All,2023,58,86,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Central and South America,Venezuela,2.11,IEA,Energy,Bioenergy,All,2023,15,9,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Central and South America,Venezuela,0.02,IEA,Energy,Other from coal,All,2023,15,9,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Central and South America,Venezuela,6.16,IEA,Energy,Other from oil and gas,All,2023,15,9,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Central and South America,Venezuela,"3,003.46",IEA,Energy,Total,All,2023,15,9,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Denmark,15.84,IEA,Energy,Bioenergy,All,2023,73,74,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Denmark,0.13,IEA,Energy,Other from coal,All,2023,73,74,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Denmark,2.65,IEA,Energy,Other from oil and gas,All,2023,73,74,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Denmark,29.3,IEA,Energy,Total,All,2023,73,74,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Estonia,6.13,IEA,Energy,Bioenergy,All,2023,89,84,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Estonia,0.06,IEA,Energy,Other from coal,All,2023,89,84,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Estonia,0.540000021,IEA,Energy,Other from oil and gas,All,2023,89,84,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Estonia,10.3,IEA,Energy,Total,All,2023,89,84,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,France,101.07,IEA,Energy,Bioenergy,All,2023,29,53,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,France,1.61,IEA,Energy,Other from coal,All,2023,29,53,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,France,26.42,IEA,Energy,Other from oil and gas,All,2023,29,53,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,France,165.07,IEA,Energy,Total,All,2023,29,53,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Germany,121.92,IEA,Energy,Bioenergy,All,2023,32,40,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Germany,30.94,IEA,Energy,Other from coal,All,2023,32,40,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Germany,43.79,IEA,Energy,Other from oil and gas,All,2023,32,40,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Germany,287.85,IEA,Energy,Total,All,2023,32,40,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Israel,0.2300000042,IEA,Energy,Bioenergy,All,2023,71,71,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Israel,0.1700000018,IEA,Energy,Other from coal,All,2023,71,71,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Israel,5.24,IEA,Energy,Other from oil and gas,All,2023,71,71,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Israel,32.69,IEA,Energy,Total,All,2023,71,71,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Italy,89.13,IEA,Energy,Bioenergy,All,2023,41,48,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Italy,0.50999999046,IEA,Energy,Other from coal,All,2023,41,48,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Italy,30.31,IEA,Energy,Other from oil and gas,All,2023,41,48,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Italy,211.04,IEA,Energy,Total,All,2023,41,48,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Netherlands,12.94,IEA,Energy,Bioenergy,All,2023,65,76,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Netherlands,0.24,IEA,Energy,Other from coal,All,2023,65,76,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Netherlands,9.69,IEA,Energy,Other from oil and gas,All,2023,65,76,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Netherlands,25.48,IEA,Energy,Total,All,2023,65,76,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Norway,8.65,IEA,Energy,Bioenergy,All,2023,82,77,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Norway,0.24,IEA,Energy,Other from coal,All,2023,82,77,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Norway,2.13,IEA,Energy,Other from oil and gas,All,2023,82,77,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Norway,24.52,IEA,Energy,Total,All,2023,82,77,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Other countries in Europe,91.96,IEA,Energy,Bioenergy,All,2023,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Other countries in Europe,103.01,IEA,Energy,Other from coal,All,2023,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Other countries in Europe,38.33,IEA,Energy,Other from oil and gas,All,2023,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Other countries in Europe,421.84,IEA,Energy,Total,All,2023,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Other EU17 countries,204.33,IEA,Energy,Bioenergy,All,2023,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Other EU17 countries,48.23,IEA,Energy,Other from coal,All,2023,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Other EU17 countries,55.76,IEA,Energy,Other from oil and gas,All,2023,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Other EU17 countries,480.82,IEA,Energy,Total,All,2023,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Other EU7 countries,27.26,IEA,Energy,Bioenergy,All,2023,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Other EU7 countries,8.31,IEA,Energy,Other from coal,All,2023,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Other EU7 countries,5.17,IEA,Energy,Other from oil and gas,All,2023,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Other EU7 countries,53.41,IEA,Energy,Total,All,2023,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Poland,77.54,IEA,Energy,Bioenergy,All,2023,37,27,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Poland,71.57,IEA,Energy,Other from coal,All,2023,37,27,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Poland,17.75,IEA,Energy,Other from oil and gas,All,2023,37,27,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Poland,836.88,IEA,Energy,Total,All,2023,37,27,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Romania,43.14,IEA,Energy,Bioenergy,All,2023,57,43,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Romania,1.13,IEA,Energy,Other from coal,All,2023,57,43,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Romania,5.45,IEA,Energy,Other from oil and gas,All,2023,57,43,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Romania,254.02,IEA,Energy,Total,All,2023,57,43,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Slovenia,5.99,IEA,Energy,Bioenergy,All,2023,88,85,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Slovenia,0.050000000745058,IEA,Energy,Other from coal,All,2023,88,85,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Slovenia,0.949999988079071,IEA,Energy,Other from oil and gas,All,2023,88,85,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Slovenia,7.78,IEA,Energy,Total,All,2023,88,85,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Sweden,27.36,IEA,Energy,Bioenergy,All,2023,75,72,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Sweden,0.21,IEA,Energy,Other from coal,All,2023,75,72,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Sweden,3.63,IEA,Energy,Other from oil and gas,All,2023,75,72,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Sweden,32,IEA,Energy,Total,All,2023,75,72,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Ukraine,25.74,IEA,Energy,Bioenergy,All,2023,38,30,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Ukraine,3.62,IEA,Energy,Other from coal,All,2023,38,30,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Ukraine,10.34,IEA,Energy,Other from oil and gas,All,2023,38,30,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,Ukraine,792.46,IEA,Energy,Total,All,2023,38,30,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,United Kingdom,25.78,IEA,Energy,Bioenergy,All,2023,28,46,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,United Kingdom,5.99,IEA,Energy,Other from coal,All,2023,28,46,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,United Kingdom,29.61,IEA,Energy,Other from oil and gas,All,2023,28,46,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Europe,United Kingdom,232.33,IEA,Energy,Total,All,2023,28,46,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Middle East,Bahrain,1.71,IEA,Energy,Other from oil and gas,All,2023,74,54,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Middle East,Bahrain,155.96,IEA,Energy,Total,All,2023,74,54,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Middle East,Iran,6.39,IEA,Energy,Bioenergy,All,2023,7,4,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Middle East,Iran,0.24,IEA,Energy,Other from coal,All,2023,7,4,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Middle East,Iran,83.24,IEA,Energy,Other from oil and gas,All,2023,7,4,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Middle East,Iran,"6,124.12",IEA,Energy,Total,All,2023,7,4,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Middle East,Iraq,0.140000000596046,IEA,Energy,Bioenergy,All,2023,26,14,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Middle East,Iraq,13.83,IEA,Energy,Other from oil and gas,All,2023,26,14,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Middle East,Iraq,"2,298.26",IEA,Energy,Total,All,2023,26,14,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Middle East,Jordan,0.7799999713897705,IEA,Energy,Bioenergy,All,2023,78,82,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Middle East,Jordan,0.0900000036,IEA,Energy,Other from coal,All,2023,78,82,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Middle East,Jordan,2.65,IEA,Energy,Other from oil and gas,All,2023,78,82,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Middle East,Jordan,15.28,IEA,Energy,Total,All,2023,78,82,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Middle East,Kuwait,7.42,IEA,Energy,Other from oil and gas,All,2023,46,22,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Middle East,Kuwait,"1,033.44",IEA,Energy,Total,All,2023,46,22,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Middle East,Lebanon,1.55,IEA,Energy,Bioenergy,All,2023,85,89,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
Middle East,Lebanon,0.050000000745058,IEA,Energy,Other from coal,All,2023,85,89,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2023
