Region,Country,Emissions,Source,Type,Segment,Reason,Base Year,Emissions Rank,Energy Rank,Notes,Collection Year
Asia Pacific,Thailand,535.25,IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
Asia Pacific,Vietnam,60.93,IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
Central and South America,Argentina,"1,307.09",IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
Central and South America,Bolivia,128.1,IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
Central and South America,Brazil,"1,756.5",IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
Central and South America,Colombia,778.16,IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
Central and South America,Cuba,21.07,IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
Central and South America,Ecuador,277.1,IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
Central and South America,Guyana,47.57,IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
Central and South America,Paraguay,16.35,IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
Central and South America,Peru,131.71,IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
Central and South America,Trinidad and Tobago,209.22,IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
Central and South America,Uruguay,7.6,IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
Central and South America,Venezuela,"2,642.7",IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
Europe,Denmark,41.52,IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
Europe,Estonia,11.62,IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
Europe,France,193.6,IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
Europe,Germany,353.09,IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
Europe,Israel,43.21,IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
Europe,Italy,285.79,IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
Europe,Netherlands,29.26,IEA,Energy,Total,All,2022,,,"Estimates from end-uses are for 2020 or 2021 (IEA, Greenhouse gas emissions from energy, 2022, https://www.iea.org/data-and-statistics/data-product/greenhouse-gas-emissions-from-energy)",2022
