,Country,Code,EU Member,GMP,APAC,OECD,AME,G20,G7
164,South Sudan,SSD,0,0,0,0,1,0,0
165,Spain,ESP,1,1,0,1,0,0,0
166,Sri Lanka,LKA,0,1,1,0,0,0,0
167,Sudan,SDN,0,1,0,0,1,0,0
168,Suriname,SUR,0,1,0,0,0,0,0
169,Sweden,SWE,1,1,0,1,0,0,0
170,Switzerland,CHE,0,1,0,1,0,0,0
171,Syria,SYR,0,0,0,0,1,0,0
172,São Tomé and Príncipe,STP,0,1,0,0,1,0,0
173,Taiwan,TWN,0,0,1,0,0,0,0
174,Tajikistan,TJK,0,1,0,0,0,0,0
175,Tanzania,TZA,0,0,0,0,1,0,0
176,Thailand,THA,0,0,1,0,0,0,0
177,Timor-Leste,TLS,0,1,1,0,0,0,0
178,Togo,TGO,0,1,0,0,1,0,0
179,Tonga,TON,0,1,1,0,0,0,0
180,Trinidad and Tobago,TTO,0,1,0,0,0,0,0
181,Tunisia,TUN,0,1,0,0,1,0,0
182,Türkiye,TUR,0,0,0,1,1,1,0
183,Turkmenistan,TKM,0,1,0,0,0,0,0
184,Tuvalu,TUV,0,1,1,0,0,0,0
185,Uganda,UGA,0,0,0,0,1,0,0
186,Ukraine,UKR,0,1,0,0,0,0,0
187,United Arab Emirates,ARE,0,1,0,0,1,0,0
188,United Kingdom of Great Britain and Northern Ireland,GBR,0,1,0,1,0,1,1
189,United States,USA,0,0,0,1,0,1,1
190,United States of America,USA,0,1,0,0,0,0,0
191,Uruguay,URY,0,1,0,0,0,0,0
192,Uzbekistan,UZB,0,1,0,0,0,0,0
193,Vanuatu,VUT,0,1,1,0,0,0,0
194,Vietnam,VNM,0,1,1,0,0,0,0
195,Yemen,YEM,0,1,0,0,1,0,0
196,Zambia,ZMB,0,1,0,0,1,0,0
197,Zimbabwe,ZWE,0,0,0,0,1,0,0
198,Afghanistan,AFG,0,0,0,0,0,0,0
199,Åland Islands,ALA,0,0,0,0,0,0,0
200,American Samoa,ASM,0,0,0,0,0,0,0
201,Anguilla,AIA,0,0,0,0,0,0,0
202,Antarctica,ATA,0,0,0,0,0,0,0
203,Aruba,ABW,0,0,0,0,0,0,0
204,Bahamas,BHS,0,0,0,0,0,0,0
205,Bermuda,BMU,0,0,0,0,0,0,0
206,"Bolivia, Plurinational State of",BOL,0,0,0,0,0,0,0
207,"Bonaire, Sint Eustatius and Saba",BES,0,0,0,0,0,0,0
208,Bouvet Island,BVT,0,0,0,0,0,0,0
209,British Indian Ocean Territory,IOT,0,0,0,0,0,0,0
210,Cayman Islands,CYM,0,0,0,0,0,0,0
211,Christmas Island,CXR,0,0,0,0,0,0,0
212,Cocos (Keeling) Islands,CCK,0,0,0,0,0,0,0
213,Curaçao,CUW,0,0,0,0,0,0,0
214,Falkland Islands (Malvinas),FLK,0,0,0,0,0,0,0
215,Faroe Islands,FRO,0,0,0,0,0,0,0
216,French Guiana,GUF,0,0,0,0,0,0,0
217,French Polynesia,PYF,0,0,0,0,0,0,0
218,French Southern Territories,ATF,0,0,0,0,0,0,0
219,Gibraltar,GIB,0,0,0,0,0,0,0
220,Greenland,GRL,0,0,0,0,0,0,0
221,Guadeloupe,GLP,0,0,0,0,0,0,0
222,Guam,GUM,0,0,0,0,0,0,0
