GEM Mine ID,Country,Mine Name,Mine Name AKAs,Mine Name (Non-ENG),GEM Wiki Page (Non-ENG),Status,Capacity (Mtpa),Opening Year,ROM or Saleable,"Coal Output (Annual, Mt) 2023",Output Accuracy,"Coal Output (Annual, Mt) 2022",Output Accuracy,"Coal Output (Annual, Mt) 2021",Output Accuracy,"Coal Output (Annual, Mt) 2020",Output Accuracy,"Coal Output (Annual, Mt) 2019",Output Accuracy,"Coal Output (Annual, Mt) 2018",Output Accuracy,"Coal Output (Annual, Mt) 2017",Output Accuracy
M1873,China,Dianping Coal Mine,,??????????????????,https://www.gem.wiki/%E9%9C%8D%E5%B7%9E%E7%85%A4%E7%94%B5%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E6%96%B9%E5%B1%B1%E5%BA%97%E5%9D%AA%E7%85%A4%E7%9F%BF,Operating,2.6,1973,ROM,1.93,Estimated,1.95,Estimated,1.94,Estimated,1.81,Estimated,1.84,Estimated,1.84,Estimated,-,
M2946,China,Donggucheng Coal Mine,,??????????????????????,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E7%85%A4%E7%82%AD%E8%BF%9B%E5%87%BA%E5%8F%A3%E9%9B%86%E5%9B%A2%E5%B7%A6%E4%BA%91%E4%B8%9C%E5%8F%A4%E5%9F%8E%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8,Operating,1.5,2020,ROM,1.12,Estimated,1.12,Estimated,1.12,Estimated,0.63,Estimated,0.64,Estimated,0.64,Estimated,-,
M0182,China,Beixinyao Coal Mine,,?????????????????,https://www.gem.wiki/%E5%A4%A7%E5%90%8C%E7%85%A4%E7%9F%BF%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E5%8C%97%E8%BE%9B%E7%AA%91%E7%85%A4%E7%9F%BF,Operating,4,2022,ROM,2.98,Estimated,3.00,Estimated,-,,-,,-,,-,,-,
M1102,China,Beizu Coal Mine,,??????????????????,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%9C%94%E5%B7%9E%E5%B1%B1%E9%98%B4%E4%B8%AD%E7%85%A4%E9%A1%BA%E9%80%9A%E5%8C%97%E7%A5%96%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Operating,3,2009,ROM,2.23,Estimated,2.25,Estimated,2.24,Estimated,2.09,Estimated,2.12,Estimated,2.12,Estimated,-,
M1828,China,Bofang Coal Mine,,?????????????????????,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E5%85%B0%E8%8A%B1%E7%A7%91%E6%8A%80%E5%88%9B%E4%B8%9A%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E4%BC%AF%E6%96%B9%E7%85%A4%E7%9F%BF%E5%88%86%E5%85%AC%E5%8F%B8,Operating,2.1,1999,ROM,1.56,Estimated,1.57,Estimated,1.56,Estimated,1.47,Estimated,1.48,Estimated,1.48,Estimated,-,
M0191,China,Chaigou Coal Mine,,????????????????????,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%80%80%E4%BB%81%E8%81%94%E9%A1%BA%E7%8E%BA%E8%BE%BE%E6%9F%B4%E6%B2%9F%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E6%9F%B4%E6%B2%9F%E7%85%A4%E7%9F%BF,Operating,8,2010,ROM,5.95,Estimated,5.99,Estimated,5.96,Estimated,4.19,Estimated,4.24,Estimated,4.24,Estimated,-,
M1104,China,Changchunxing Coal Mine,,????????????????????,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E7%85%A4%E7%82%AD%E8%BF%9B%E5%87%BA%E5%8F%A3%E9%9B%86%E5%9B%A2%E5%B7%A6%E4%BA%91%E9%95%BF%E6%98%A5%E5%85%B4%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Operating,6,2012,ROM,4.46,Estimated,4.49,Estimated,4.47,Estimated,3.14,Estimated,3.18,Estimated,3.18,Estimated,-,
M3707,China,Changcun Coal Mine,,????????????????????,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%BD%9E%E5%AE%89%E7%8E%AF%E4%BF%9D%E8%83%BD%E6%BA%90%E5%BC%80%E5%8F%91%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%B8%B8%E6%9D%91%E7%85%A4%E7%9F%BF,Operating,8,1995,ROM,5.95,Estimated,8.40,Reported,8.39,Reported,8.13,Reported,7.68,Reported,7.68,Reported,8.02,Reported
M1831,China,Changgou Coal Mine,,????????????????,https://www.gem.wiki/%E9%98%B3%E6%B3%89%E7%85%A4%E4%B8%9A%E9%9B%86%E5%9B%A2%E9%95%BF%E6%B2%9F%E7%85%A4%E7%9F%BF%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8,Operating,1,1962,ROM,0.74,Estimated,0.75,Estimated,1.31,Reported,1.31,Reported,1.80,Reported,1.27,Estimated,-,
M0195,China,Changping Coal Mine,,????????????????,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E9%95%BF%E5%B9%B3%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E9%95%BF%E5%B9%B3%E7%85%A4%E7%9F%BF,Operating,5,2003,ROM,3.72,Estimated,3.75,Estimated,3.73,Estimated,3.49,Estimated,3.53,Estimated,3.53,Estimated,-,
M1833,China,Changtai Coal Mine,,??????????????,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E5%AF%BF%E9%98%B3%E6%BD%9E%E9%98%B3%E6%98%8C%E6%B3%B0%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Operating,1,2011,ROM,0.74,Estimated,0.75,Estimated,0.75,Estimated,0.70,Estimated,0.71,Estimated,0.85,Estimated,-,
M1320,China,Changxin Coal Mine,,?????????????????,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E9%A9%AC%E5%86%9B%E5%B3%AA%E5%B8%B8%E4%BF%A1%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%B8%B8%E4%BF%A1%E7%85%A4%E7%9F%BF,Operating,1.2,2020,ROM,0.89,Estimated,0.90,Estimated,0.89,Estimated,0.84,Estimated,-,,-,,-,
M3039,China,Changzhi Xinchao Coal Mine,,??????????,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%96%B0%E8%B6%85%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Operating,1.2,1981,ROM,0.89,Estimated,0.90,Estimated,0.89,Estimated,0.63,Estimated,0.64,Estimated,0.64,Estimated,-,
M1800,China,Changzhi Xinjian Coal Mine,,??????????,https://www.gem.wiki/%E9%95%BF%E6%B2%BB%E6%96%B0%E5%BB%BA%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Operating,1.5,2000,ROM,1.12,Estimated,1.12,Estimated,1.12,Estimated,0.84,Estimated,0.85,Estimated,0.85,Estimated,-,
M3041,China,Changzhi Xishan Coal Mine,,?????????????,https://www.gem.wiki/%E9%95%BF%E6%B2%BB%E5%8E%BF%E8%A5%BF%E5%B1%B1%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8,Operating,1.2,1970,ROM,0.89,Estimated,0.90,Estimated,0.89,Estimated,0.63,Estimated,0.64,Estimated,0.64,Estimated,-,
M0358,China,Tashan Coal Mine,,????????????????,https://www.gem.wiki/%E5%90%8C%E7%85%A4%E5%A4%A7%E5%94%90%E5%A1%94%E5%B1%B1%E7%85%A4%E7%9F%BF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%A1%94%E5%B1%B1%E7%85%A4%E7%9F%BF,Operating,25,2008,ROM,18.60,Estimated,25.23,Reported,28.00,Reported,26.81,Reported,28.60,Reported,23.75,Reported,-,
M1249,China,Zhangcun Coal Mine,,????????????????????,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%BD%9E%E5%AE%89%E7%8E%AF%E4%BF%9D%E8%83%BD%E6%BA%90%E5%BC%80%E5%8F%91%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E6%BC%B3%E6%9D%91%E7%85%A4%E7%9F%BF,Operating,4,1980,ROM,2.98,Estimated,4.24,Reported,4.30,Reported,4.00,Reported,3.58,Reported,3.56,Reported,3.20,Reported
M0165,China,Anjialing Open-Pit Mine,,????????????????,https://www.gem.wiki/%E4%B8%AD%E7%85%A4%E5%B9%B3%E6%9C%94%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%AE%89%E5%AE%B6%E5%B2%AD%E9%9C%B2%E5%A4%A9%E7%9F%BF,Operating,20,2006,ROM,14.88,Estimated,18.73,Estimated,14.90,Estimated,19.93,Reported,14.12,Estimated,14.12,Estimated,-,
M1813,China,Antai Coal Mine,,????????????,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E5%AE%8F%E7%9B%9B%E5%AE%89%E6%B3%B0%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Operating,1.5,2011,ROM,1.12,Estimated,1.12,Estimated,1.12,Estimated,1.05,Estimated,1.06,Estimated,0.85,Estimated,-,
M0166,China,Antaibao Surface Mine,,????????????????,https://www.gem.wiki/%E4%B8%AD%E7%85%A4%E5%B9%B3%E6%9C%94%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%AE%89%E5%A4%AA%E5%A0%A1%E9%9C%B2%E5%A4%A9%E7%9F%BF,Operating,20,1987,ROM,14.88,Estimated,14.98,Estimated,14.90,Estimated,13.96,Estimated,14.12,Estimated,14.12,Estimated,-,
M1814,China,Anxin Coal Mine,,??????????,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E5%AE%89%E9%91%AB%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Operating,1.2,2011,ROM,0.89,Estimated,0.90,Estimated,0.89,Estimated,0.84,Estimated,0.85,Estimated,0.85,Estimated,-,
M2430,China,Baiyangling Coal Mine,,?????????????????,https://www.gem.wiki/%E4%B8%AD%E7%85%A4%E6%98%94%E9%98%B3%E8%83%BD%E6%BA%90%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E7%99%BD%E7%BE%8A%E5%B2%AD%E7%85%A4%E7%9F%BF,Operating,1.5,2012,ROM,1.12,Estimated,1.12,Estimated,1.12,Estimated,1.05,Estimated,1.06,Estimated,1.06,Estimated,-,
M1821,China,Bao'an Coal Mine,,????????????????,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E7%85%A4%E7%82%AD%E8%BF%90%E9%94%80%E9%9B%86%E5%9B%A2%E4%BF%9D%E5%AE%89%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Operating,1.2,2015,ROM,0.89,Estimated,0.90,Estimated,0.89,Estimated,0.84,Estimated,0.85,Estimated,0.85,Estimated,-,
M0178,China,Baode Coal Mine,,????????????????,https://www.gem.wiki/%E4%B8%AD%E5%9B%BD%E7%A5%9E%E5%8D%8E%E8%83%BD%E6%BA%90%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E4%BF%9D%E5%BE%B7%E7%85%A4%E7%9F%BF,Operating,5,2002,ROM,3.72,Estimated,3.75,Estimated,3.73,Estimated,3.49,Estimated,3.53,Estimated,3.53,Estimated,-,
M1891,China,Dongyu Coal Mine,,??????????????,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E7%BE%8E%E9%94%A6%E9%9B%86%E5%9B%A2%E4%B8%9C%E4%BA%8E%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Operating,1.5,2012,ROM,1.12,Estimated,1.12,Estimated,1.12,Estimated,1.05,Estimated,1.06,Estimated,1.06,Estimated,-,
M1790,China,Maidizhang Coal Mine,,??????????????????,https://www.gem.wiki/%E5%A4%AA%E5%8E%9F%E5%B8%82%E6%A2%97%E9%98%B3%E5%AE%9E%E4%B8%9A%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E9%BA%A6%E5%9C%B0%E6%8E%8C%E7%85%A4%E7%9F%BF,Operating,1.2,2018,ROM,0.89,Estimated,0.90,Estimated,0.89,Estimated,0.84,Estimated,0.85,Estimated,0.85,Estimated,-,
M1243,China,Yimin Surface Mine,,???????????????,https://www.gem.wiki/%E5%8D%8E%E8%83%BD%E4%BC%8A%E6%95%8F%E7%85%A4%E7%94%B5%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E9%9C%B2%E5%A4%A9%E7%9F%BF,Operating,35,1984,ROM,26.04,Estimated,35.00,Reported,20.12,Estimated,23.83,Reported,15.53,Estimated,15.53,Estimated,-,
M2164,China,Tian'an No.12 Coal Mine,,????????????????,https://www.gem.wiki/%E5%B9%B3%E9%A1%B6%E5%B1%B1%E5%A4%A9%E5%AE%89%E7%85%A4%E4%B8%9A%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%8D%81%E4%BA%8C%E7%9F%BF,Operating,1.04,1960,ROM,1.04,Reported,1.10,Reported,1.04,Reported,1.04,Reported,1.04,Reported,1.30,Reported,1.30,Reported
M1975,China,Huoshaopu Coal Mine,,????????????????,https://www.gem.wiki/%E8%B4%B5%E5%B7%9E%E7%9B%98%E6%B1%9F%E7%B2%BE%E7%85%A4%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E7%81%AB%E7%83%A7%E9%93%BA%E7%9F%BF,Operating,4.5,1966,ROM,3.35,Estimated,2.13,Estimated,2.12,Estimated,-,,1.27,Estimated,1.25,Estimated,1.60,Reported
M1846,China,Dabaoding Coal Mine,,????????????????????,https://www.gem.wiki/%E6%94%80%E6%9E%9D%E8%8A%B1%E7%85%A4%E4%B8%9A%EF%BC%88%E9%9B%86%E5%9B%A2%EF%BC%89%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E5%A4%A7%E5%AE%9D%E9%A1%B6%E7%85%A4%E7%9F%BF,Operating,1.35,1971,ROM,1.00,Estimated,1.01,Estimated,1.01,Estimated,0.94,Estimated,0.95,Estimated,0.95,Estimated,-,
M1879,China,Dongfeng Coal Mine,,??????????????,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E5%85%B0%E8%8A%B1%E9%9B%86%E5%9B%A2%E4%B8%9C%E5%B3%B0%E7%85%A4%E7%9F%BF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Operating,1.5,-,ROM,1.12,Estimated,0.90,Estimated,0.89,Estimated,0.84,Estimated,0.85,Estimated,0.85,Estimated,-,
M1965,China,Huashan Coal Mine,,???????????????????,https://www.gem.wiki/%E6%94%80%E6%9E%9D%E8%8A%B1%E7%85%A4%E4%B8%9A%EF%BC%88%E9%9B%86%E5%9B%A2%EF%BC%89%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E8%8A%B1%E5%B1%B1%E7%85%A4%E7%9F%BF,Operating,1.8,1970,ROM,1.34,Estimated,1.35,Estimated,1.34,Estimated,1.26,Estimated,1.27,Estimated,1.27,Estimated,-,
M1984,China,Jiayang Coal Mine,,????????????????,https://www.gem.wiki/%E5%9B%9B%E5%B7%9D%E5%98%89%E9%98%B3%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E5%98%89%E9%98%B3%E7%85%A4%E7%9F%BF,Operating,1.2,1938,ROM,0.89,Estimated,0.90,Estimated,0.89,Estimated,0.84,Estimated,0.85,Estimated,0.85,Estimated,-,
M2038,China,Longtan Coal Mine,,??????????????? (?????,https://www.gem.wiki/%E5%9B%9B%E5%B7%9D%E5%8D%8E%E8%93%A5%E5%B1%B1%E9%BE%99%E6%BB%A9%E7%85%A4%E7%94%B5%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8,Operating,1.5,2010,ROM,1.12,Estimated,1.12,Estimated,1.12,Estimated,1.05,Estimated,1.06,Estimated,1.06,Estimated,-,
M2048,China,Lvshuidong Coal Mine,,???????????????????,https://www.gem.wiki/%E5%9B%9B%E5%B7%9D%E7%9C%81%E5%8D%8E%E8%93%A5%E5%B1%B1%E7%85%A4%E4%B8%9A%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E7%BB%BF%E6%B0%B4%E6%B4%9E%E7%85%A4%E7%9F%BF,Operating,1.2,1981,ROM,0.89,Estimated,0.90,Estimated,0.89,Estimated,0.84,Estimated,0.85,Estimated,0.85,Estimated,-,
M2126,China,Shiping No.1 Coal Mine,,??????????????????,https://www.gem.wiki/%E5%B7%9D%E5%8D%97%E7%85%A4%E4%B8%9A%E6%B3%B8%E5%B7%9E%E5%8F%A4%E5%8F%99%E7%85%A4%E7%94%B5%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E7%9F%B3%E5%B1%8F%E4%B8%80%E7%9F%BF,Operating,1,2012,ROM,0.74,Estimated,0.75,Estimated,0.75,Estimated,0.70,Estimated,0.40,Reported,0.85,Estimated,-,
M2149,China,Taiping Coal Mine,,??????????????????,https://www.gem.wiki/%E5%9B%9B%E5%B7%9D%E5%B7%9D%E7%85%A4%E5%8D%8E%E8%8D%A3%E8%83%BD%E6%BA%90%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E5%A4%AA%E5%B9%B3%E7%85%A4%E7%9F%BF,Operating,1.2,1969,ROM,0.89,Estimated,0.90,Estimated,0.89,Estimated,0.84,Estimated,0.85,Estimated,0.85,Estimated,-,
M0188,China,Buzhaoba Surface Mine,,???????????????,https://www.gem.wiki/%E4%BA%91%E5%8D%97%E7%9C%81%E5%B0%8F%E9%BE%99%E6%BD%AD%E7%9F%BF%E5%8A%A1%E5%B1%80%E5%B8%83%E6%B2%BC%E5%9D%9D%E9%9C%B2%E5%A4%A9%E7%9F%BF,Operating,13,-,ROM,9.67,Estimated,9.74,Estimated,7.45,Estimated,6.98,Estimated,-,,7.06,Estimated,-,
M3708,China,Changpo Coal Mine,,?????????????????,https://www.gem.wiki/%E6%A5%9A%E9%9B%84%E5%B7%9E%E5%90%95%E5%90%88%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E9%95%BF%E5%9D%A1%E7%85%A4%E7%9F%BF,Operating,1.2,2022,ROM,0.89,Estimated,0.74,Reported,0.34,Estimated,0.31,Estimated,0.32,Estimated,0.32,Estimated,-,
M1918,China,Guanwen Coal Mine,,???????????????????????,https://www.gem.wiki/%E5%9B%9B%E5%B7%9D%E7%9C%81%E5%8F%A4%E5%8F%99%E7%85%A4%E7%94%B0%E5%BC%80%E5%8F%91%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%8F%A4%E5%8F%99%E7%9F%BF%E5%8C%BA%E8%A7%82%E6%96%87%E7%85%A4%E7%9F%BF,Operating,1.2,2017,ROM,0.89,Estimated,0.90,Estimated,0.89,Estimated,0.84,Estimated,0.85,Estimated,0.85,Estimated,-,
M1319,China,Linhuan Coal Mine,,??????????????,https://www.gem.wiki/%E6%B7%AE%E5%8C%97%E7%9F%BF%E4%B8%9A%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E4%B8%B4%E6%B6%A3%E7%85%A4%E7%9F%BF,Operating,2.6,1985,ROM,1.93,Estimated,1.95,Estimated,1.94,Estimated,1.81,Estimated,1.84,Estimated,2.12,Estimated,3.00,Reported
M2043,China,Luling Coal Mine,,??????????????,https://www.gem.wiki/%E6%B7%AE%E5%8C%97%E7%9F%BF%E4%B8%9A%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E8%8A%A6%E5%B2%AD%E7%85%A4%E7%9F%BF,Operating,2.3,1969,ROM,1.71,Estimated,1.72,Estimated,1.71,Estimated,1.61,Estimated,1.62,Estimated,1.62,Estimated,2.30,Reported
M1325,China,Qinan Coal Mine,,??????????????,https://www.gem.wiki/%E6%B7%AE%E5%8C%97%E7%9F%BF%E4%B8%9A%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E7%A5%81%E5%8D%97%E7%85%A4%E7%9F%BF,Operating,2.6,2000,ROM,1.93,Estimated,1.95,Estimated,1.94,Estimated,1.81,Estimated,1.84,Estimated,2.12,Estimated,3.00,Reported
M2085,China,Qingdong Coal Mine,,??????????,https://www.gem.wiki/%E6%B7%AE%E5%8C%97%E9%9D%92%E4%B8%9C%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Operating,1.8,2011,ROM,1.34,Estimated,1.35,Estimated,1.34,Estimated,1.26,Estimated,1.27,Estimated,1.27,Estimated,1.80,Reported
M0332,China,Shanxin Village Surface Coal Mine,,?????????????????,https://www.gem.wiki/Shanxin_Village_Surface_Mine,Operating,6,2018,ROM,4.46,Estimated,4.49,Estimated,4.47,Estimated,3.49,Estimated,3.53,Estimated,-,,-,
M1317,China,Suntuan Coal Mine,,??????????????,https://www.gem.wiki/%E6%B7%AE%E5%8C%97%E7%9F%BF%E4%B8%9A%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%AD%99%E7%96%83%E7%85%A4%E7%9F%BF,Operating,2.7,2008,ROM,2.01,Estimated,2.02,Estimated,2.01,Estimated,1.88,Estimated,1.91,Estimated,2.12,Estimated,3.00,Reported
M2158,China,Taoyuan Coal Mine,,??????????????,https://www.gem.wiki/%E6%B7%AE%E5%8C%97%E7%9F%BF%E4%B8%9A%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E6%A1%83%E5%9B%AD%E7%85%A4%E7%9F%BF,Operating,1.75,1995,ROM,1.30,Estimated,1.31,Estimated,1.30,Estimated,1.22,Estimated,1.24,Estimated,1.24,Estimated,1.75,Reported
M2200,China,Wobei Coal Mine,,??????????????,https://www.gem.wiki/%E6%B7%AE%E5%8C%97%E7%9F%BF%E4%B8%9A%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E6%B6%A1%E5%8C%97%E7%85%A4%E7%9F%BF,Operating,1.8,2007,ROM,1.34,Estimated,1.35,Estimated,1.34,Estimated,1.26,Estimated,1.27,Estimated,1.27,Estimated,1.80,Reported
M0392,China,Xinhu Coal Mine,,???????????????,https://www.gem.wiki/%E5%AE%89%E5%BE%BD%E7%9C%81%E4%BA%B3%E5%B7%9E%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E4%BF%A1%E6%B9%96%E7%85%A4%E7%9F%BF,Operating,3,2021,ROM,2.23,Estimated,2.25,Estimated,1.12,Estimated,-,,-,,-,,-,
M1238,China,Xutuan Coal Mine,,??????????????,https://www.gem.wiki/%E6%B7%AE%E5%8C%97%E7%9F%BF%E4%B8%9A%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E8%AE%B8%E7%96%83%E7%85%A4%E7%9F%BF,Operating,3.5,2004,ROM,2.60,Estimated,2.62,Estimated,2.61,Estimated,2.44,Estimated,2.47,Estimated,2.47,Estimated,3.50,Reported
M2253,China,Yangliu Coal Mine,,??????????,https://www.gem.wiki/%E6%B7%AE%E5%8C%97%E6%9D%A8%E6%9F%B3%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Operating,1.8,2011,ROM,1.34,Estimated,1.35,Estimated,1.34,Estimated,1.26,Estimated,1.27,Estimated,1.27,Estimated,1.80,Reported
M2281,China,Yuandian Yijing Coal Mine,,???????????????,https://www.gem.wiki/%E5%AE%89%E5%BE%BD%E7%9C%81%E4%BA%B3%E5%B7%9E%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E8%A2%81%E5%BA%97%E4%B8%80%E4%BA%95,Operating,1.8,2011,ROM,1.34,Estimated,1.35,Estimated,1.34,Estimated,1.26,Estimated,1.27,Estimated,1.27,Estimated,1.80,Reported
M2313,China,Zhuxianzhuang Coal Mine,,???????????????,https://www.gem.wiki/%E6%B7%AE%E5%8C%97%E7%9F%BF%E4%B8%9A%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E6%9C%B1%E4%BB%99%E5%BA%84%E7%85%A4%E7%9F%BF,Operating,2.4,1983,ROM,1.79,Estimated,1.80,Estimated,1.79,Estimated,1.68,Estimated,1.69,Estimated,1.69,Estimated,2.40,Reported
M2314,China,Zhuzhuang Coal Mine,,??????????????,https://www.gem.wiki/%E6%B7%AE%E5%8C%97%E7%9F%BF%E4%B8%9A%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E6%9C%B1%E5%BA%84%E7%85%A4%E7%9F%BF,Operating,1.6,1965,ROM,1.19,Estimated,1.20,Estimated,1.19,Estimated,1.12,Estimated,1.13,Estimated,1.34,Estimated,1.90,Reported
M2315,China,Zouzhuang Coal Mine,,???????????????,https://www.gem.wiki/%E5%AE%89%E5%BE%BD%E7%A5%9E%E6%BA%90%E7%85%A4%E5%8C%96%E5%B7%A5%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E9%82%B9%E5%BA%84%E7%85%A4%E7%9F%BF,Operating,2.4,2016,ROM,1.79,Estimated,1.80,Estimated,1.79,Estimated,1.68,Estimated,1.69,Estimated,1.69,Estimated,2.40,Reported
M1911,China,Fuyuan Hongfa Coal Mine,,?????????????????,https://www.gem.wiki/%E5%AF%8C%E6%BA%90%E5%8E%BF%E8%80%81%E5%8E%82%E9%95%87%E5%AE%8F%E5%8F%91%E7%85%A4%E7%9F%BF,Operating,1.8,1997,ROM,1.34,Estimated,0.86,Estimated,0.86,Estimated,0.80,Estimated,0.81,Estimated,0.81,Estimated,-,
M3823,China,Xiegou Coal Mine,,??????????????????,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E8%A5%BF%E5%B1%B1%E6%99%8B%E5%85%B4%E8%83%BD%E6%BA%90%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E6%96%9C%E6%B2%9F%E7%85%A4%E7%9F%BF,Operating,15,2021,ROM,11.16,Estimated,11.24,Estimated,-,,-,,-,,-,,-,
