GEM Mine ID,Country,Mine Name,Mine Name AKAs,Mine Name (Non-ENG),GEM Wiki Page (Non-ENG),Status,Capacity (Mtpa),Opening Year,ROM or Saleable,"Coal Output (Annual, Mt) 2023",Output Accuracy,"Coal Output (Annual, Mt) 2022",Output Accuracy,"Coal Output (Annual, Mt) 2021",Output Accuracy,"Coal Output (Annual, Mt) 2020",Output Accuracy,"Coal Output (Annual, Mt) 2019",Output Accuracy,"Coal Output (Annual, Mt) 2018",Output Accuracy,"Coal Output (Annual, Mt) 2017",Output Accuracy
M2385,China,Liuxiang Coal Mine,,????????????????,https://www.gem.wiki/%E9%99%95%E8%A5%BF%E7%AB%B9%E5%9B%AD%E5%98%89%E5%8E%9F%E7%9F%BF%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E6%9F%B3%E5%B7%B7%E7%85%A4%E7%9F%BF,Operating,2.4,2013,ROM,1.79,Estimated,1.80,Estimated,1.79,Estimated,0.84,Estimated,-,,1.93,Reported,-,
M0397,China,Xinzhuang Coal Mine,,??????????????,https://www.gem.wiki/%E5%BA%86%E9%98%B3%E6%96%B0%E5%BA%84%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E6%96%B0%E5%BA%84%E7%85%A4%E7%9F%BF,Operating,8,2023,ROM,5.95,Estimated,-,,-,,-,,-,,-,,-,
M1159,China,Liang Bei No.2 Coal Mine,,????????????,https://www.gem.wiki/%E4%B8%AD%E5%9B%BD%E5%B9%B3%E7%85%A4%E7%A5%9E%E9%A9%AC%E9%9B%86%E5%9B%A2%E6%A2%81%E5%8C%97%E4%BA%8C%E4%BA%95,Operating,1.2,2023,ROM,0.89,Estimated,-,,-,,-,,-,,-,,-,
M0177,China,Balasu Coal Mine,,????????????????????,https://www.gem.wiki/%E9%99%95%E8%A5%BF%E5%BB%B6%E9%95%BF%E7%9F%B3%E6%B2%B9%E5%B7%B4%E6%8B%89%E7%B4%A0%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%B7%B4%E6%8B%89%E7%B4%A0%E7%85%A4%E7%9F%BF,Operating,15,2022,ROM,11.16,Estimated,11.24,Estimated,-,,-,,-,,-,,-,
M2449,China,Hongshaliang Surface Coal Mine,,??????????????????????,https://www.gem.wiki/%E7%AA%91%E8%A1%97%E7%85%A4%E7%94%B5%E9%9B%86%E5%9B%A2%E9%85%92%E6%B3%89%E5%A4%A9%E5%AE%9D%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E7%BA%A2%E6%B2%99%E6%A2%81%E9%9C%B2%E5%A4%A9%E7%9F%BF,Operating,3,2023,ROM,2.23,Estimated,-,,-,,-,,-,,-,,-,
M1157,China,Kaiyuan Coal Mine,,????????????????,https://www.gem.wiki/%E9%98%B3%E7%85%A4%E9%9B%86%E5%9B%A2%E5%AF%BF%E9%98%B3%E5%BC%80%E5%85%83%E7%9F%BF%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8,Operating,3,2003,ROM,2.23,Estimated,2.25,Estimated,1.71,Reported,1.71,Reported,3.00,Reported,2.12,Estimated,-,
M0372,China,Wenjiazhuang Coal Mine,,???????????????,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E5%B9%B3%E8%88%92%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E6%B8%A9%E5%AE%B6%E5%BA%84%E7%85%A4%E7%9F%BF,Operating,5,2023,ROM,3.72,Estimated,-,,-,,-,,-,,-,,-,
M1235,China,Xinjing Coal Mine,,?????????????,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%96%B0%E6%99%AF%E7%9F%BF%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8,Operating,4.5,1997,ROM,3.35,Estimated,3.37,Estimated,3.88,Reported,3.88,Reported,4.50,Reported,3.18,Estimated,-,
M0405,China,Yangquan No. 1 Coal Mine,????????????????,????????????????,https://www.gem.wiki/%E9%98%B3%E6%B3%89%E7%85%A4%E4%B8%9A%EF%BC%88%E9%9B%86%E5%9B%A2%EF%BC%89%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E4%B8%80%E7%9F%BF,Operating,8.5,1956,ROM,6.32,Estimated,6.37,Estimated,6.70,Reported,6.70,Reported,7.49,Reported,5.30,Estimated,-,
M0406,China,Yangquan No. 2 Coal Mine,????????????????,????????????????,https://www.gem.wiki/%E9%98%B3%E6%B3%89%E7%85%A4%E4%B8%9A%EF%BC%88%E9%9B%86%E5%9B%A2%EF%BC%89%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E4%BA%8C%E7%9F%BF,Operating,8.1,-,ROM,6.03,Estimated,6.07,Estimated,6.95,Reported,6.95,Reported,8.09,Reported,5.72,Estimated,-,
