GEM_MINE_ID,EPA,EMAIL_SENT,MSHA_ID,COUNTRY,MINE_NAME,MINE_NAME_AKAS,MINE_NAME__NONENG,GEM_WIKI_URLS,STATUS,STATUS_DETAIL,PROJECT_TYPE,PROJECT_PHASE,OWNERS,OWNERS__NONENG,PARENT_COMPANY,COMPANY_HQS,CAPACITY__MTPA,PRODUCTION__MTPA,YEAR_OF_PRODUCTION,COAL_OUTPUT__ANNUAL_MST,MINE_TYPE,MINING_METHOD,MINE_SIZE__KM2,MINE_DEPTH__M,DEPTH_ACCURACY,WORKFORCE_SIZE,WORKFORCE_ACCURACY,COAL_TYPE,COAL_GRADE,TOTAL_RESERVES__PROVEN_AND_PROBABLE_MT,YEAR_OF_TOTAL_RESERVES_RECORDED,TOTAL_RESOURCE__INFERRED_INDICATED_MEASURED,RESERVE_TO_PRODUCTION_RATIO__RP,OPENING_YEAR,REPORTED_LIFE_OF_MINE,COALFIELD,LOCATION,PREFECTURE_DISTRICT,STATE_PROVINCE,SUBREGION,REGION,LATITUDE,LONGITUDE,LOCATION_ACCURACY,PRIMARY_CONSUMER_DESTINATION,COAL_PLANT_STEEL_PLANT_TERMINAL,COAL_PLANT_STEEL_PLANT_TERMINAL_GEM_WIKI,REPORTED_COAL_MINE_METHANE_EMISSIONS__THOUSAND_TONNES__CO2E,YEAR_OF_REPORTED_COAL_MINE_METHANE_EMISSIONS,GEM_COAL_MINE_METHANE_EMISSIONS_ESTIMATE__MCMYR,GEM_COAL_MINE_METHANE_EMISSIONS_ESTIMATE__M_TONNESYR,CMM_EMISSIONS__CO2E_20_YEARS,CMM_EMISSIONS__CO2E_100_YEARS,UPV_,SRON,GEM_FIRST_50_MINES,DATA_INTEGRATION_MINES,TOP_5_MINES,NOTES,YEAR_OF_COAL_OUTPUT,COAL_OUTPUT__ANNUAL_MT_REF,PERCENTAGE_OF_MET_COAL,PERCENTAGE_OF_THERMAL_COAL,MET_COAL_OUTPUT__MTPA,THERMAL_COAL_OUTPUT__MTPA,PERCENTAGE_REF,ACCURACY_RATING,MINE_BOUNDARIES_DELIVERY_DATE,POINT_SOURCE_LOCATION_DELIVERY_DATE,COMPANIES_AND_COUNTRIES_DELIVERY_DATE,MARS_DATA_DELIVERY_DATE,SCIENCE_STUDIES_DELIVERY_DATE,DATA_INTEGRATION_DELIVERY_DATE
M0268,,,,China,Jinjitan Coal Mine,,陕西未来能源化工有限公司金鸡滩煤矿,https://www.gem.wiki/Jinjitan_Coal_Mine,Operating,,,,Shaanxi Future Energy Chemical Company,-,Shandong Energy [62%]; Shaanxi Yanchang Petroleum Group [19%]; Jiaxing Dejian Investment Partnership [5%]; Others [14%],China,17,*,"2,023",,Underground,-,107.89,456,Estimate,"2,146",Exact,Bituminous,Thermal,898,-,-,53,"2,018",-,,Jinjitan,Yulin,Shaanxi,Eastern Asia,Asia,38.51,109.82,Exact,,,,,,269.1,0.18,14.9,5.4,,,,,,,,,,,,,,,,,,,,
M0269,,,,China,Jinneng Coal Mine,,霍州煤电集团金能煤业有限公司,https://www.gem.wiki/Jinneng_coal_mine,Operating,,New,,Huozhou Coal and Electricity Group,-,China Huadian [49%]; Shanxi Coking Coal Group [30%]; China Cinda Asset Management [20%]; China Construction Bank [1%],China,1.2,*,"2,023",,Underground,Longwall,20.42,456,Estimate,611,Estimate,Bituminous,Met,240,-,-,200,"2,023",-,Jinzhong,,Xinzhou,Shanxi,Eastern Asia,Asia,38.4,112.02,Exact,,,,,,19,0.013,1.1,0.4,,,,,,,,,,,,,,,,,,,,
M0270,,,,China,Kabuqi Coal Mine,,乌海市温明矿业有限责任公司卡布其煤矿,https://www.gem.wiki/Kabuqi_open-pit_coal_mine,Operating,,,,Wuhai Wenming Mining Company,-,Inner Mongolia Tianyu Innovation Investment Group,China,1.2,*,"2,022",,Surface,Open Pit,2.26,290,Exact,336,Exact,Bituminous,Met,10,-,-,8,"2,021",8,Zhuozishan,,Wuhai,Inner Mongolia,Eastern Asia,Asia,39.62,106.89,Exact,,,,,,14.3,0.01,0.8,0.3,,,,,,,,,,,,,,,,,,,,
M0271,,,,China,Kouzi East Coal Mine,,中煤新集能源股份有限公司口孜东矿,https://www.gem.wiki/Kouzi_East_Coal_Mine,Operating,,,,China Coal Xinji Energy,-,China Coal [30%]; China Energy [7%]; Anhui Xinji Coal and Electricity Group [7%] China COSCO Shipping [56%],China,5,*,"2,019",,Underground,Longwall,33.6,456,Estimate,"4,649",Estimate,Bituminous,Thermal & Met,382,-,-,76,"2,014",60,Huai Nan,,Fuyang,Anhui,Eastern Asia,Asia,32.83,116.16,Exact,,,,,,79.2,0.053,4.4,1.6,,,,,,,,,,,,,,,,,,,,
M0272,,,,China,Liang Bei Coal Mine,,河南省许昌新龙矿业有限责任公司梁北煤矿,https://www.gem.wiki/Liang_Bei_coal_mine,Operating,,,,Henan Xuchang Xinlong Mine Industry Company,-,Henan Shenhuo Group [24%]; Shangqiu Oriental Investment Company [14%]; Others [62%],China,2.4,*,"2,023",,Underground,Longwall,42.33,800,Exact,"3,500",Exact,Bituminous,Met,132,-,224,55,"2,021",41,Pingdingshan,,Yuzhou,Henan,Eastern Asia,Asia,34.09,113.46,Approximate,,,,,,46.6,0.031,2.6,0.9,,,,,,,,,,,,,,,,,,,,
M0274,,,,China,Liangshuijing Coal Mine,,陕西能源凉水井矿业有限责任公司煤矿（曾用名：神木汇森凉水井矿业有限责任公司）,https://www.gem.wiki/Liangshuijing_Coal_Mine,Operating,,,,Shaaxi Energy Liangshuijing Mining Company,-,Shaanxi Investment Group [47%]; Shaanxi Yulin Energy Group Huisen Investment and Management [5%]; China Energy [30%]; Shenmu State-Owned Assets Operation Company [17%]; Others [1%],China,8,*,"2,023",,Underground,Longwall,68.9,456,Estimate,"1,330",Exact,Bituminous,-,407,-,-,51,"2,009",-,,Jinjie,Yulin,Shaanxi,Eastern Asia,Asia,38.79,110.25,Exact,,,,,,126.7,0.085,7,2.5,,,,,,,,,,,,,,,,,,,,
M0275,,,,China,Libi Coal Mine,,国投晋城能源有限公司里必煤矿,https://www.gem.wiki/Libi_Coal_Mine,Proposed,Construction,New,,Guotou Jincheng Energy Investment Company,-,China Coal [51%]; Shanxi Coking Coal Group [49%],China,4,*,,,Underground,-,43.42,456,Estimate,-,-,Anthracite,Thermal,154,-,-,38,"2,025",27,,Longgang,Jincheng,Shanxi,Eastern Asia,Asia,35.7,112.29,Exact,,,,,,112.4,0.075,6.2,2.2,,,,,,,,,,,,,,,,,,,,
M0276,,,,China,Lijiahao Coal Mine,,国能包头能源有限责任公司李家壕煤矿,https://www.gem.wiki/Lijiahao_Coal_Mine,Operating,,,,China Energy Baotou Energy Company,-,China Energy [69%]; HKSCC Nominees Limited [17%]; Others [14%],China,6,*,"2,022",,Underground,Longwall,67.65,456,Estimate,697,Exact,Bituminous,Thermal,607,-,-,101,"2,016",25,,Tongchuan,Ordos,Inner Mongolia,Eastern Asia,Asia,39.74,110.02,Exact,,,,,,95,0.064,5.3,1.9,,,,,,,,,,,,,,,,,,,,
M0277,,,,China,Lingbei Coal Mine,,山西汾西矿业（集团）有限责任公司灵北煤矿,https://www.gem.wiki/Lingbei_Coal_Mine,Proposed,Construction,New,,Shanxi Fenxi Mining Group,-,Shanxi Coking Coal Group [59%]; China Cinda Asset Management Company [36%]; China Huarong Asset Management Company [2%]; China Construction Bank [2%]; Others [1%],China,2.4,*,,,Underground,Longwall,29.54,456,Estimate,-,-,Bituminous,Met,197,-,298,82,"2,025",60,Huoxi,Liangdu,Jinzhong,Shanxi,Eastern Asia,Asia,36.94,111.71,Exact,,,,,,38,0.025,2.1,0.8,,,,,,,,,,,,,,,,,,,,
M0278,,,,China,Lingdong Coal Mine,,扎赉诺尔煤业有限责任公司灵东煤矿,https://www.gem.wiki/Lingdong_Coal_Mine,Operating,,,,Zhalainuo'er Coal Industry Company,-,China Huaneng,China,6.5,*,"2,022",,Underground,-,27.8,456,Estimate,"10,818",Exact,Lignite,Thermal,654,-,-,101,"2,011",-,,,Manzhouli,Inner Mongolia,Eastern Asia,Asia,49.39,117.77,Exact,,,,,,33.3,0.022,1.8,0.7,,,,,,,,,,,,,,,,,,,,
M0279,,,,China,Liushenyu Coal Mine,,山西通洲集团留神峪煤业有限公司,https://www.gem.wiki/Liushenyu_coal_mine,Operating,,,,Shanxi Tongzhou Group Liushenyu Coal Industry Company,-,Shanxi Tongzhou Coal and Coke Group,China,1.2,*,"2,022",,Underground,-,15.86,456,Estimate,150,Exact,Bituminous,-,46,-,-,38,"2,021",27,,Liyuan,Changzhi,Shanxi,Eastern Asia,Asia,36.59,112.21,Exact,,,,,,19,0.013,1.1,0.4,,,,,,,,,,,,,,,,,,,,
M0280,,,,China,Liuzhuang Coal Mine,,中煤新集能源股份有限公司刘庄煤矿,https://www.gem.wiki/Liuzhuang_Coal_Mine,Operating,,,,China Coal Xinji Energy,-,China Coal [30%]; China Energy [7%]; Anhui Xinji Coal and Electricity Group [7%]; Others [55%],China,11,*,"2,023",,Underground,-,82.21,456,Estimate,"5,324",Exact,Bituminous,Thermal,623,-,-,57,"2,007",-,,,Fuyang,Anhui,Eastern Asia,Asia,32.81,116.29,Exact,,,,,,174.2,0.117,9.6,3.5,,,,,,,,,,,,,,,,,,,,
M0281,,,,China,Longwan Coal Mine,,山西晋煤沁秀龙湾能源有限公司龙湾煤矿,https://www.gem.wiki/Longwan_coal_mine,Proposed,Construction,New,,Shanxi Jinmei Qinxiulong Bay Energy Company,-,Jinneng Group [44%]; Huayang New Material Technology Group [18%]; Yangcheng County Yangtai Group [21%]; Shanxi Yujin Trading Company [9%]; Shanxi Juhuang Century Investment Company [6%]; Others [2%],China,4,*,,,Underground,-,103.58,456,Estimate,50,Exact,Anthracite,Thermal & Met,395,-,-,99,"2,026",-,Qinshui,Qinchi,Jincheng,Shanxi,Eastern Asia,Asia,35.58,112.22,Exact,,,,,,112.4,0.075,6.2,2.2,,,,,,,,,,,,,,,,,,,,
M0282,,,,China,Longwanggou Coal Mine,,鄂尔多斯市国源矿业开发有限责任公司龙王沟煤矿,https://www.gem.wiki/Longwanggou_mine,Operating,,,,Ordos Guoyuan Mining Development Company,-,China Datang [51%]; Luen Mei Group [49%],China,15,*,"2,023",,Underground,Longwall,51.15,456,Estimate,832,Estimate,Bituminous,Thermal,788,-,-,53,-,56,,Xuejiawan,Ordos,Inner Mongolia,Eastern Asia,Asia,39.81,111.21,Exact,,,,,,237.5,0.159,13.1,4.7,,,,,,,,,,,,,,,,,,,,
M0283,,,,China,Lu'an Wangzhuang Coal Mine,,山西潞安环保能源开发股份有限公司王庄煤矿,https://www.gem.wiki/Lu%27an_Wangzhuang_Coal_Mine,Operating,,,,Shanxi Lu'an Environmental Energy Development Company,-,Lu'an Chemical Group,China,7.1,*,"2,022",,Underground,-,79.45,456,Estimate,"8,206",Exact,Bituminous,Met,267,-,-,38,"1,966",37,,,Changzhi,Shanxi,Eastern Asia,Asia,36.37,113.02,Exact,,,,,,112.4,0.075,6.2,2.2,,,,,,,,,,,,,,,,,Depends on our hiring,,,
M0284,,,,China,Luntai Yangxia Coal Mine,,新疆神新发展有限责任公司轮台阳霞煤矿,https://www.gem.wiki/Luntai_Yangxia_coal_mine,Proposed,Construction,New,,Xinjiang Shenxin Development Company,-,Xinjiang Shenxin Development Company [67%]; Trade Union Committee [33%],China,1.2,*,,,Underground,-,11.36,456,Estimate,421,Exact,Bituminous,Thermal,177,-,299,148,"2,024",-,Jungar,Luntai County,Bayingoleng Mongolian Autonomous Prefecture,Xinjiang,Eastern Asia,Asia,41.96,84.53,Approximate,,,,,,19,0.013,1.1,0.4,,,,,,,,,,,,,,,,,,,,
M0285,,,,China,Luotuoshan Coal Mine,,神华集团海勃湾矿业有限责任公司骆驼山煤矿,https://www.gem.wiki/Luotuoshan_Coal_Mine,Proposed,Construction,New,,Shenhua Group Haibowan Mining Company,-,China Energy,China,1.5,*,,,Underground,-,11.57,456,Estimate,-,-,Bituminous,met,47,-,65,-,TBD,22,,Luotuoshan,Wuhai,Inner Mongolia,Eastern Asia,Asia,39.56,106.92,Exact,,,,,,23.7,0.016,1.3,0.5,,,,,,,,,,,,,,,,,,,,
M0286,,,,China,Madaotou Coal Mine,,大同煤矿集团有限责任公司马道头煤矿,https://www.gem.wiki/Madaotou_coal_mine,Operating,,,,Datong Coal Mine Group Madaotou Coal Industry Company,-,Jinneng Group,China,10,*,,,Underground,-,130.58,456,Estimate,671,Estimate,Lignite,Thermal,-,-,-,-,-,-,Datong,Xiaojingzhuang,Datong,Shanxi,Eastern Asia,Asia,39.84,112.66,Exact,,,,,,51.2,0.034,2.8,1,,,,,,,,,,,,,,,,,,,,
M0287,,,,China,Majialiang Coal Mine,,大同煤矿集团轩岗煤电有限责任公司麻家梁煤矿,https://www.gem.wiki/Majialiang_Coal_Mine,Operating,,,,Datong Coal Mining Group Xuangang Coal and Electricity,-,Jinneng Holding Group [88%]; Others [12%],China,12,*,"2,022",,Underground,Longwall,104.29,456,Estimate,"1,844",Exact,Bituminous,Thermal,-,-,-,-,"2,016",-,,,Shuozhou,Shanxi,Eastern Asia,Asia,39.18,112.42,Exact,,,,,,190,0.127,10.5,3.8,,,,,,,,,,,,,,,,,,,,
M0288,,,,China,Manglai Surface Coal Mine,,中铁资源苏尼特左旗芒来矿业有限公司芒来露天煤矿,https://www.gem.wiki/Manglai_Surface_Mine,Proposed,Construction,Expansion,,China Railway Resources Sunitezuoqi Manglai Surface Mine Company,-,China Reform Holdings Company [18%]; China Coal [14%]; China Chengtong Holding Company [10%]; China Energy [7%]; Cathay Olympic Investment Company [49%]; Others [2%],China,10,*,,,Surface,Open Pit,15.63,110,Exact,839,Exact,Lignite,Thermal,250,-,-,25,"2,021",54,Zhuozishan,Manglaigacha,Xilin Gol,Inner Mongolia,Eastern Asia,Asia,44.04,113.23,Exact,,,,,,17.9,0.012,1,0.4,,,,,,,,,,,,,,,,,,,,
M0289,,,,China,Maomaoshan Coal Mine,,山西煤炭运销集团帽帽山煤业有限公司,https://www.gem.wiki/Maomaoshan_Coal_Mine,Operating,Test Operation,,,Shanxi Coal Transportation Group Maomaoshan Coal Industry Company,-,Jinneng Group [26%]; China Energy [24%]; Xinglonggou Village Committee [24%]; Shanxi Yuehua Xingsheng Energy Investment Company [24%]; Others [2%],China,1.8,*,"2,022",,Underground,-,17.42,360,Exact,711,Estimate,Bituminous,Thermal,155,-,-,86,TBD,-,,Shuiyao,Datong,Shanxi,Eastern Asia,Asia,39.84,112.87,Exact,,,,,,25.5,0.017,1.4,0.5,,,,,,,,,,,,,,,,,,,,
M0290,,,,China,Mayixi No.1 Coal Mine,,贵州盘江马依煤业有限公司马依西一井,https://www.gem.wiki/Mayixi_No.1_Coal_Mine,Operating,,,Stage 1,Guizhou Panjiang Mayi Coal Industry Company,-,Guizhou Panjiang Coal and Electricity Group [42%]; Shandong Energy [8%]; Guangdong Yuedian Holdings West Investment Company [11%]; Guangdong Yuedian Group [8%]; China Southern Power Grid Company [1%]; Guizhou Coalfield Geology Bureau [6%]; Others [24%],China,1.2,*,"2,023",,Underground,Longwall,21.04,456,Estimate,"1,196",Estimate,Bituminous,Met,219,-,-,182,"2,023",-,,Mayi,Liupanshui,Guizhou,Eastern Asia,Asia,25.53,104.69,Exact,,,,,,19,0.013,1.1,0.4,,,,,,,,,,,,,,,,,,,,
M0290,,,,China,Mayixi No.1 Coal Mine,,贵州盘江马依煤业有限公司马依西一井,https://www.gem.wiki/Mayixi_No.1_Coal_Mine,Proposed,Construction,Expansion,Stage 2,Guizhou Panjiang Mayi Coal Industry Company,-,Guizhou Panjiang Coal and Electricity Group [42%]; Shandong Energy [8%]; Guangdong Yuedian Holdings West Investment Company [11%]; Guangdong Yuedian Group [8%]; China Southern Power Grid Company [1%]; Guizhou Coalfield Geology Bureau [6%]; Others [24%],China,1.2,*,,,Underground,Longwall,-,456,Estimate,"1,196",Estimate,Bituminous,Thermal,-,-,-,-,TBD,-,,Mayi,Liupanshui,Guizhou,Eastern Asia,Asia,25.53,104.69,Exact,,,,,,19,0.013,1.1,0.4,,,,,,,,,,,,,,,,,,,,
M0291,,,,China,Meihuajing Coal Mine,,国家能源集团宁夏煤业有限责任公司梅花井煤矿,https://www.gem.wiki/Meihuajing_Coal_Mine,Operating,,,,China Energy Group Ningxia Coal Industry Company,-,China Energy [51%]; Ningxia State-Owned Capital Operation Group [49%],China,12,*,"2,022",,Underground,Longwall,72.6,456,Estimate,"1,431",Estimate,Bituminous,Thermal,"1,515",-,"2,422",126,"2,009",-,Ningdong,Ciyaobao,Yinchuan,Ningxia,Eastern Asia,Asia,38.1,106.72,Exact,,,,,,190,0.127,10.5,3.8,,,,,,,,,,,,,,,,,,,,
M0292,,,,China,Mengcun Coal Mine,,陕西彬长孟村矿业有限公司孟村煤矿,https://www.gem.wiki/Mengcun_Coal_Mine,Operating,,,,Shaanxi Binchang Mengcun Mining Group,-,Shaanxi Coal and Chemical Industry Group [45%]; China Development Bank [6%]; Others [49%],China,6,*,"2,022",,Underground,Longwall,63.6,456,Estimate,"1,953",Estimate,Bituminous,Thermal,558,-,990,93,"2,022",-,,Mawu,Xianyang,Shaanxi,Eastern Asia,Asia,35.15,107.93,Exact,,,,,,95,0.064,5.3,1.9,,,,,,,,,,,,,,,,,,,,
M0293,,,,China,Menkeqing Coal Mine,,中天合创能源有限责任公司门克庆煤矿,https://www.gem.wiki/Menkeqing_mine,Operating,,,,Zhongtian Hechuang Energy Company,-,China Coal [38%]; Sinopec [38%]; Shenergy [13%]; Manshi Group [10%]; Others [1%],China,8,*,"2,022",,Underground,Longwall,88.63,456,Estimate,852,Estimate,Bituminous,Thermal,-,-,"2,383",-,"2,016",-,Dongsheng,Zhasake Menkeqing Gazha,Ordos,Inner Mongolia,Eastern Asia,Asia,38.9,109.54,Exact,,,,,,126.7,0.085,7,2.5,,,,,,,,,,,,,,,,,,,,
M0294,,,,China,Minda Surface Mine,,鄂尔多斯市民达煤炭有限责任公司煤矿（民达露天矿）,https://www.gem.wiki/Minda_Surface_Mine,Operating,,,,Ordos Minda Coal Company,-,Ordos Minda Coal Company,China,8,*,"2,023",,Surface,Open Pit,20.71,120,Exact,861,Exact,Subbituminous,Thermal,-,-,-,-,"2,009",22,,Tongchuan,Ordos,Inner Mongolia,Eastern Asia,Asia,39.83,110.14,Exact,,,,,,15.2,0.01,0.8,0.3,,,,,,,,,,,,,,,,,,,,
M0295,,,,China,Muduchaideng Coal Mine,,鄂尔多斯市伊化矿业资源有限责任公司母杜柴登煤矿,https://www.gem.wiki/Muduchaideng_Coal_Mine,Operating,,,,Erdos Yihua Mining Resources Company,-,China Coal [66%]; Inner Mongolia Boyuan Holdings Group [11%]; Others [23%],China,6,*,"2,022",,Underground,Longwall,59.59,456,Estimate,829,Estimate,Bituminous,Thermal,705,-,-,117,"2,021",-,,Tuke,Ordos,Inner Mongolia,Eastern Asia,Asia,38.84,109.47,Exact,,,,,,95,0.064,5.3,1.9,,,,,,,,,,,,,,,,,,,,
M0296,,,,China,Nalin River No.2 Coal Mine,,乌审旗蒙大矿业有限责任公司纳林河二号煤矿,https://www.gem.wiki/Nalin_River_No.2_mine,Operating,,,,Wushenqi Mengda Mining Company,-,China Coal [66%]; Inner Mongolia Boyuan Holdings Group [11%]; Others [23%],China,8,*,"2,022",,Underground,-,176.34,456,Estimate,"1,223",Estimate,Bituminous,Thermal,686,-,-,86,"2,021",-,,Wudinghe,Ordos,Inner Mongolia,Eastern Asia,Asia,38.06,108.97,Exact,,,,,,126.7,0.085,7,2.5,,,,,,,,,,,,,,,,,,,,
M0297,,,,China,Nalinmiao No.2 Well Coal Mine,,内蒙古伊泰煤炭股份有限公司纳林庙煤矿二号井,"https://www.gem.wiki/Nalinmiao_Coal_Mine,_No.2_Well",Operating,,,,Inner Mongolia Yitai Coal Group,-,Inner Mongolia Yitai Investment,China,5,*,"2,022",,Underground,Longwall,20.96,456,Estimate,101,Exact,Bituminous,Thermal,52,30/6/2023,54,10,"2,006",-,,Narisong,Ordos,Inner Mongolia,Eastern Asia,Asia,39.37,110.61,Exact,,,,,,79.2,0.053,4.4,1.6,,,,,,,,,,,,,,,,,,,,
M0298,,,,China,Nayuan Surface Coal Mine,,鄂尔多斯市巴音孟克纳源煤炭有限责任公司（纳源露天矿）,https://www.gem.wiki/Nayuan_Surface_Mine,Operating,,,,Ordos Bayin Mengke Nayuan Coal Company,-,Ordos Bayin Mengke Investment Group [65%]; Shanghai Haihao Investment and Development Company [25%]; Others [10%],China,6,*,"2,022",,Surface,Open Pit,29.08,60,Estimate,484,Exact,Bituminous,Thermal,122,-,-,20,"2,012",-,,Talahao,Ordos,Inner Mongolia,Eastern Asia,Asia,39.8,110.31,Exact,,,,,,23.4,0.016,1.3,0.5,,,,,,,,,,,,,,,,,,,,
M0299,,,,China,Niaoshan Coal Mine,,黑龙江龙煤矿业集团股份有限公司鹤岗分公司鸟山煤矿,https://www.gem.wiki/Niaoshan_Coal_Mine,Operating,,,,Heilongjiang Longmei Mining Group Hegang Branch,-,Heilongjiang Longmay Mining Holding Group,China,1.2,*,"2,022",,Underground,Longwall,8.75,456,Estimate,"1,119",Estimate,Bituminous,Met,96,"2,022",186,80,"2,022",57,,Niaoshan,Hegang,Heilongjiang,Eastern Asia,Asia,47.31,130.36,Exact,,,,,,19,0.013,1.1,0.4,,,,,,,,,,,,,,,,,,,,
M0301,,,,China,Ningtiaota Coal Mine,,陕煤集团神木柠条塔矿业有限公司柠条塔煤矿,https://www.gem.wiki/Ningtiaota_coal_mine,Operating,,,,Shaanxi Coal Group; Shenmu Ningtiaota Mining Company,-,Shaanxi Coal and Chemical Industry Group [32%]; Yulin State-Owned Capital Operation and Management Company [25%]; Shenmu City State-Owned Assets Operation Company [24%]; Others [19%],China,18,*,"2,022",,Underground,Longwall,136.1,456,Estimate,"1,697",Exact,Bituminous,Thermal,-,-,-,-,"2,013",-,Shenfu,Sunjiacha,Yulin,Shaanxi,Eastern Asia,Asia,39.03,110.25,Exact,,,,,,285,0.191,15.8,5.7,,,,,,,,,,,,,,,,,,,,
M0302,,,,China,Ningxia Hongliu Coal Mine,,国家能源集团宁夏煤业有限责任公司红柳煤矿,https://www.gem.wiki/Ningxia_Hongliu_mine,Operating,,,,China Energy Ningxia Coal Industry Company,-,China Energy [51%]; Ningxia State-Owned Capital Operation Group [49%],China,8,*,"2,022",,Underground,-,79.55,456,Estimate,"1,264",Estimate,Bituminous,Thermal,"1,156",-,-,145,"2,013",-,Ningdong,Majiatan,Yinchuan,Ningxia,Eastern Asia,Asia,37.88,106.76,Exact,,,,,,126.7,0.085,7,2.5,,,,,,,,,,,,,,,,,,,,
M0303,,,,China,Ningxia Yong'an Coal Mine,,宁夏阳光矿业公司永安煤矿,https://www.gem.wiki/Ningxia_Yong%27an_Coal_Mine,Proposed,Construction,New,,Ningxia Sunshine Mining Company,-,Shougang Group [51%]; Shanghai Sunshine Investment Group [49%],China,1.2,*,,,Underground,Longwall,21.68,456,Estimate,-,-,Bituminous,Met,113,-,235,94,"2,025",-,,Taiyangshan Economic Development Zone,Wuzhong,Ningxia,Eastern Asia,Asia,37.42,106.6,Approximate,,,,,,19,0.013,1.1,0.4,,,,,,,,,,,,,,,,,,,,
M0304,,,,China,Nongnaimiao Luxin Coal Mine,,内蒙古鲁新能源开发有限责任公司农乃庙鲁新煤矿,https://www.gem.wiki/Nongnaimiao_Luxin_coal_mine,Operating,Test Operation,,,Inner Mongolia Luxin Energy Development Company,-,Shandong Energy [66.6%]; Shanghai Zhixin Electric Company [25%]; China Southern Power Grid Company [8%]; Others [1%],China,5,*,"2,024",,Underground,-,28.61,456,Estimate,150,Exact,Lignite,Thermal,425,"2,023",911,85,"2,024",62,Nongnaimiao,Bayinhushuo,Xilin Gol,Inner Mongolia,Eastern Asia,Asia,45.65,119.14,Exact,,,,,,25.6,0.017,1.4,0.5,,,,,,,,,,,,,,,,,,,,
M0305,,,,China,Pangpangta Coal Mine,,霍州煤电集团吕临能化有限公司庞庞塔煤矿,https://www.gem.wiki/Pangpangta_Coal_Mine,Operating,,,,Huozhou Coal Power Group; Lu Ling Energy and Chemical Company,-,Shanxi Coking Coal Group [58%]; China Cinda Asset Management Company [36%]; China Construction Bank [4%],China,10,*,"2,022",,Underground,Longwall,103.25,456,Estimate,"1,410",Estimate,Bituminous,Met,894,-,-,89,"2,021",-,,Muguaping,Luliang,Shanxi,Eastern Asia,Asia,38.0,111.14,Exact,,,,,,158.3,0.106,8.8,3.2,,,,,,,,,,,,,,,,,Depends on our hiring,,,
M0306,,,,China,Pingshuo East Coal Mine,,中煤平朔集团有限公司东露天矿,https://www.gem.wiki/Pingshuo_East_open-pit_mine,Operating,,,,China Coal Pingshuo Group,-,China Coal [57%]; HKSCC Nominees Limited [30%]; Others [13%],China,20,*,"2,022",,Surface,Open Pit,48.41,50,Estimate,499,Exact,Subbituminous,Thermal,-,-,-,-,"2,016",-,,Yulin,Shuozhou,Shanxi,Eastern Asia,Asia,39.55,112.44,Exact,,,,,,17.9,0.012,1,0.4,,,,,,,,,,,,,,,,,,,,
M0307,,,,China,Qianjiaying Coal Mine,,开滦（集团）有限责任公司钱家营矿业分公司,https://www.gem.wiki/Qianjiaying_Coal_Mine,Operating,,,,Kailuan Group,-,Kailuan Group,China,5.4,*,"2,022",,Underground,Longwall,32.36,456,Estimate,"5,580",Exact,Bituminous,Met,548,2022/3,-,102,"1,988",-,,,Tangshan,Hebei,Eastern Asia,Asia,39.6,118.36,Exact,,,,,,85.5,0.057,4.7,1.7,,,,,,,,,,,,,,,,,Depends on our hiring,,,
M0308,,,,China,Qiketai Mining Area Resource Integration Zone No. 1 Coal Mine,,鄯善县泰鑫坤德煤业有限公司七克台矿区资源整合区一号整合井田,https://www.gem.wiki/Qiketai_Mining_Area_Resource_Integration_Zone_No._1_Integrated_Mine,Proposed,Permitted,New,,Shanshan County Taixin Kunde Coal Industry Company,-,Shanshan County Taixin Kunde Coal Industry Company,China,1.5,*,,,Underground,-,-,456,Estimate,-,-,Bituminous,-,-,-,-,-,TBD,-,,,Turpan City,Xinjiang,Eastern Asia,Asia,43.0,90.65,Approximate,,,,,,23.7,0.016,1.3,0.5,,,,,,,,,,,,,,,,,,,,
M0309,,,,China,Qingchunta Coal Mine,,内蒙古珠江投资有限公司青春塔煤矿,https://www.gem.wiki/Qingchunta_mine,Operating,,,,Inner Mongolia Pearl River Investment Company,-,Guangdong Hanjian Holding Company [94%]; Shanghai Chengrui Investment Company [6%],China,6,*,"2,022",,Underground,Longwall,44.2,456,Estimate,782,Estimate,Bituminous,Thermal,583,-,-,97,"2,017",-,,Weijiamao,Ordos,Inner Mongolia,Eastern Asia,Asia,39.48,111.32,Exact,,,,,,95,0.064,5.3,1.9,,,,,,,,,,,,,,,,,,,,
M0310,,,,China,Qinghua No.7 Coal Mine,,庆华集团伊犁矿业投资有限公司七号矿井,https://www.gem.wiki/Qinghua_No.7_coal_mine,Proposed,Permitted,New,Stage 1,Qinghua Group Yili Mining Investment Company,-,China Kingho Energy Group,China,3,*,,,Underground,Longwall,29.71,456,Estimate,-,-,Bituminous,-,-,-,-,-,TBD,-,Yining,,Yili Kazakh Autonomous Prefecture,Xinjiang,Eastern Asia,Asia,44.0,81.38,Approximate,,,,,,47.5,0.032,2.6,0.9,,,,,,,,,,,,,,,,,,,,
