GEM_MINE_ID,EPA,EMAIL_SENT,MSHA_ID,COUNTRY,MINE_NAME,MINE_NAME_AKAS,MINE_NAME__NONENG,GEM_WIKI_URLS,STATUS,STATUS_DETAIL,PROJECT_TYPE,PROJECT_PHASE,OWNERS,OWNERS__NONENG,PARENT_COMPANY,COMPANY_HQS,CAPACITY__MTPA,PRODUCTION__MTPA,YEAR_OF_PRODUCTION,COAL_OUTPUT__ANNUAL_MST,MINE_TYPE,MINING_METHOD,MINE_SIZE__KM2,MINE_DEPTH__M,DEPTH_ACCURACY,WORKFORCE_SIZE,WORKFORCE_ACCURACY,COAL_TYPE,COAL_GRADE,TOTAL_RESERVES__PROVEN_AND_PROBABLE_MT,YEAR_OF_TOTAL_RESERVES_RECORDED,TOTAL_RESOURCE__INFERRED_INDICATED_MEASURED,RESERVE_TO_PRODUCTION_RATIO__RP,OPENING_YEAR,REPORTED_LIFE_OF_MINE,COALFIELD,LOCATION,PREFECTURE_DISTRICT,STATE_PROVINCE,SUBREGION,REGION,LATITUDE,LONGITUDE,LOCATION_ACCURACY,PRIMARY_CONSUMER_DESTINATION,COAL_PLANT_STEEL_PLANT_TERMINAL,COAL_PLANT_STEEL_PLANT_TERMINAL_GEM_WIKI,REPORTED_COAL_MINE_METHANE_EMISSIONS__THOUSAND_TONNES__CO2E,YEAR_OF_REPORTED_COAL_MINE_METHANE_EMISSIONS,GEM_COAL_MINE_METHANE_EMISSIONS_ESTIMATE__MCMYR,GEM_COAL_MINE_METHANE_EMISSIONS_ESTIMATE__M_TONNESYR,CMM_EMISSIONS__CO2E_20_YEARS,CMM_EMISSIONS__CO2E_100_YEARS,UPV_,SRON,GEM_FIRST_50_MINES,DATA_INTEGRATION_MINES,TOP_5_MINES,NOTES,YEAR_OF_COAL_OUTPUT,COAL_OUTPUT__ANNUAL_MT_REF,PERCENTAGE_OF_MET_COAL,PERCENTAGE_OF_THERMAL_COAL,MET_COAL_OUTPUT__MTPA,THERMAL_COAL_OUTPUT__MTPA,PERCENTAGE_REF,ACCURACY_RATING,MINE_BOUNDARIES_DELIVERY_DATE,POINT_SOURCE_LOCATION_DELIVERY_DATE,COMPANIES_AND_COUNTRIES_DELIVERY_DATE,MARS_DATA_DELIVERY_DATE,SCIENCE_STUDIES_DELIVERY_DATE,DATA_INTEGRATION_DELIVERY_DATE
M2153,,,,China,Tang'an Coal Mine,,山西兰花科技创业股份有限公司唐安煤矿分公司,https://www.gem.wiki/Tang%27an_Coal_Mine,Operating,,,,Shanxi Lanhua Technology Venture Company Tang'an Coal Mine Branch,-,Shanxi Lanhua Coal Industry Group,China,1.8,*,"2,022",,Underground,Longwall,29.95,752,Exact,"2,189",Exact,Anthracite,Thermal,93,-,-,52,"1,999",37,Qinshui,"Tangxi , Macun",Jincheng,Shanxi,Eastern Asia,Asia,35.73,112.78,Exact,,,,,,57.2,0.038,3.2,1.1,,,,,,,,,,,,,,,,,,,,
M2154,,,,China,Tanggongta Coal Mine,,准格尔唐公塔煤矿唐公塔矿井,https://www.gem.wiki/Tanggongta_Coal_Mine,Operating,,,,Ordos Dongchen Coal Company,-,Inner Mongolia Yitai Tongda Coal Company,China,1.5,*,"2,022",,Underground,Longwall,8.49,456,Estimate,312,Estimate,Bituminous,Thermal,116,-,-,77,"1,990",59,Jungar,Xuejiawan,Ordos,Inner Mongolia,Eastern Asia,Asia,39.84,111.29,Exact,,,,,,23.7,0.016,1.3,0.5,,,,,,,,,,,,,,,,,,,,
M2155,,,,China,Tangyang Coal Mine,,山东裕隆矿业集团有限公司唐阳煤矿,https://www.gem.wiki/Tangyang_Coal_Mine,Operating,,,,Shandong Yulong Mining Group Tangyang Coal Mine,-,Qufu Yulong Mining Industry Development Investment Company,China,1.1,*,"2,023",,Underground,Longwall,18.06,500,Exact,"2,300",Exact,Bituminous,Thermal & Met,12,-,-,11,"2,001",8,Ningyang-Wenshang,Nanzhan,Jining,Shandong,Eastern Asia,Asia,35.63,116.53,Exact,,,,,,18.1,0.012,1,0.4,,,,,,,,,,,,,,,,,,,,
M2156,,,,China,Tanyaoping Coal Mine,,山西吕梁离石炭窑坪煤业有限公司,https://www.gem.wiki/Tanyaoping_Coal_Mine,Operating,,,,Shanxi Luliang Lishi Tanyaoping Coal Industry Company,-,Shanxi Datuhe Coking Company,China,1.2,*,"2,022",,Underground,-,13.99,456,Estimate,717,Estimate,Bituminous,Met,96,-,-,80,"2,012",53,Hedong,"Liujiawan , Lianhua Sub-district Office",Luliang,Shanxi,Eastern Asia,Asia,37.49,111.13,Exact,,,,,,19,0.013,1.1,0.4,,,,,,,,,,,,,,,,,,,,
M2157,,,,China,Tanyaoyu Coal Mine,,山西煤炭运销集团炭窑峪煤业有限公司,https://www.gem.wiki/Tanyaoyu_Coal_Mine,Operating,,,,Shanxi Coal Transportation and Marketing Group Tanyaoyu Coal Industry Company,-,Jinneng Group,China,1.8,*,"2,022",,Underground,Longwall,1.69,"1,209",Exact,"1,249",Estimate,Anthracite,Thermal,62,-,-,34,"2,012",37,Datong,"Yangfang , Kouquan ship",Datong,Shanxi,Eastern Asia,Asia,39.93,113.05,Exact,,,,,,62.1,0.042,3.4,1.2,,,,,,,,,,,,,,,,,,,,
M2158,,,,China,Taoyuan Coal Mine,,淮北矿业股份有限公司桃园煤矿,https://www.gem.wiki/Taoyuan_Coal_Mine,Operating,,,,Huaibei Mining Company,-,Wanbei Coal & Electrical Group,China,1.75,*,"2,022",,Underground,Longwall,29.45,600,Exact,"2,274",Exact,Bituminous,Thermal & Met,71,"2,022",-,41,"1,995",29,Huaibei,Beiyangzhai,Suzhou,Anhui,Eastern Asia,Asia,33.53,117.03,Exact,,,,,,30.8,0.021,1.7,0.6,,,,,,,,,,,,,,,,,,,,
M2159,,,,China,Tashan Coal Mine Baidong Well,,同煤大唐塔山煤矿有限公司塔山白洞井,https://www.gem.wiki/Tashan_Coal_Mine_Baidong_Well,Operating,,,,Tongmei Datang Tashan Coal Mine Company Tashan Baidong Well,-,Jinneng Group,China,1.5,*,"2,022",,Underground,-,8.27,930,Exact,"1,696",Exact,Bituminous,Met,-,-,-,-,"1,958",-,Datong,Yangjiayao,Datong,Shanxi,Eastern Asia,Asia,39.99,113.05,Exact,,,,,,30.4,0.02,1.7,0.6,,,,,,,,,,,,,,,,,,,,
M2160,,,,China,Tashidian No.2 Minefield Coal Mine,,库尔勒金川矿业有限公司塔什店二井田煤矿,https://www.gem.wiki/Tashidian_No.2_Minefield_Coal_Mine,Operating,,,,Korla Jinchuan Mining Company Tashidian No.2 Minefield Coal Mine,-,Xinjiang Lvyuan State-Owned Capital Investment Operation Company,China,1.8,*,"2,023",,Underground,-,21.58,250,Exact,364,Exact,Bituminous,Thermal,36,-,-,20,"2,003",14,Tashidian,Tashidian,Bayingoleng Mongolian Autonomous Prefecture,Xinjiang,Eastern Asia,Asia,41.91,86.19,Exact,Coal Plant,Tashdian power station,https://www.gem.wiki/Tashdian_power_station,,,21,0.014,1.2,0.4,,,,,,,,,,,,,,,,,,,,
M2161,,,,China,Tenghui Coal Mine,,霍州煤电集团河津腾晖煤业有限责任公司,https://www.gem.wiki/Tenghui_Coal_Mine,Operating,,,,Huozhou Coal and Electricity Group,-,Shanxi Coking Coal Group,China,1.2,*,"2,022",,Underground,Longwall,2.84,330,Exact,"1,178",Exact,Anthracite,Thermal & Met,30,-,-,25,"2,013",17,Hedong,Xiahua,Yuncheng,Shanxi,Eastern Asia,Asia,35.78,110.62,Exact,,,,,,30.3,0.02,1.7,0.6,,,,,,,,,,,,,,,,,,,,
M2162,,,,China,Tian'an No.10 Coal Mine,,平顶山天安煤业股份有限公司十矿,https://www.gem.wiki/Tian%27an_No.10_Coal_Mine,Operating,,,,Pingdingshan Tianan Coal Industry Company Tian'an No.10 Coal Mine,-,China Pingmei Shenma Energy and Chemical Group,China,2.64,*,"2,022",,Underground,Longwall,32.5,800,Exact,"7,094",Exact,Bituminous,Met,111,"2,022",193,42,"1,964",30,Pingdingshan,Donghuan,Pingdingshan,Henan,Eastern Asia,Asia,33.76,113.35,Exact,Steel Plant,Baoshan Iron & Steel,,,,51.2,0.034,2.8,1,,,,,,,,,,,,,,,,,Depends on our hiring,,,
