Unit ID,Unit Name,Unit type,Country,Fuel type,Status,Latitude,Longitude,Location accuracy,Owner,Parent,Production (Mtpa),Mine Type,Mine Size (Km2),Mine Depth (m),Coal Type,Coal Grade,GEM Coal Mine Methane Emissions Estimate (MCM/yr),Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
M0071,Minyango Coking Coal Project, ,Australia,coal,Cancelled,-23.497583,148.807134,Approximate,QCoal,QCoal [100%],,Underground,,500.0,Bituminous,Thermal & Met,132.5,0.23557004,0.14370945,0.22009464,0.22686309,0.20428261,0.20081472,0.19181179,0.21110925,0.24798457,0.25874752,0.1940248,0.17912836
M0072,Moolarben Coal Mine, ,Australia,coal,Operating,-32.2828165,149.7591596,Exact,Moolarben Coal Operations,Yancoal Australia Ltd [95.0%]; Kores Australia Moolarben Coal Pty Ltd [5.0%],16.9,Underground & Surface,110,150.0,Subbituminous,Thermal,54.1,0.18227166,0.13152948,0.15250885,0.09776741,0.12364711,0.093867004,0.11530678,0.13021956,0.10714114,0.08614084,0.12524495,0.17238453
M0072,Moolarben Coal Mine, ,Australia,coal,Proposed,-32.2828165,149.7591596,Exact,Moolarben Coal Operations,Yancoal Australia Ltd [95.0%]; Kores Australia Moolarben Coal Pty Ltd [5.0%],,Surface,8.26,125.0,Subbituminous,Thermal,24.5,0.18227166,0.13152948,0.15250885,0.09776741,0.12364711,0.093867004,0.11530678,0.13021956,0.10714114,0.08614084,0.12524495,0.17238453
M0073,Moorlands Coal Mine, ,Australia,coal,Shelved,-22.816656,147.379922,Approximate,Cuesta Coal,Cuesta Coal [100%],,Surface,1000,50.0,Subbituminous,Thermal,2.3,0.17931749,0.11722824,0.14489205,0.13555458,0.11889876,0.11436249,0.11649874,0.13551734,0.16393714,0.18638553,0.1971366,0.18400885
M0074,Moranbah North Coal Mine, ,Australia,coal,Operating,-21.871331,147.956742,Exact,Moranbah North,Anglo American PLC [88.0%]; Nippon Steel Corp [5.0%]; Mitsui & Co Ltd [4.7%],4.124,Underground,67.61,200.0,Bituminous,Met,56.7,0.22521372,0.16342887,0.20939273,0.20834155,0.18947025,0.184277,0.18005891,0.20781615,0.2347827,0.25018558,0.2625211,0.24634992
M0075,Mount Arthur Coal Mine, ,Australia,coal,Operating,-32.337022,150.856144,Exact,Hunter Valley Energy Coal,BHP Group Ltd [100.0%],19.82,Surface,64,60.0,Bituminous,Thermal,104.1,0.17987587,0.12594377,0.10934614,0.12557928,0.12228928,0.09039312,0.12590143,0.14052238,0.11837521,0.16677898,0.17171314,0.18093386
M0076,Mount Pleasant Coal Mine, ,Australia,coal,Proposed,-32.25591661,150.8499847,Exact,Integrated Energy Services Corp,Integrated Energy Services Corp [100%],,Surface,28,60.0,Bituminous,Thermal,34.1,0.19934674,0.1330221,0.157075,0.14457509,0.14349683,0.11036109,0.1588241,0.16878225,0.13357657,0.18906187,0.14645123,0.20005128
M0076,Mount Pleasant Coal Mine, ,Australia,coal,Operating,-32.25591661,150.8499847,Exact,Mach Energy,Integrated Energy Services Corp [100%],9.99,Surface,28,60.0,Bituminous,Thermal,52.4,0.19934674,0.1330221,0.157075,0.14457509,0.14349683,0.11036109,0.1588241,0.16878225,0.13357657,0.18906187,0.14645123,0.20005128
M0077,Mt Owen Coal Mine, ,Australia,coal,Operating,-32.4066392,151.085603,Exact,Mt Owen Pty Ltd,Glencore PLC [100.0%],7.4,Surface,,270.0,Bituminous,Thermal & Met,114.3,0.19530645,0.121221304,0.098284245,0.12680976,0.13346618,0.106409416,0.14977919,0.16547763,0.13133742,0.17976631,0.13472664,0.18329315
M0078,Mt Thorley Warkworth Coal Mine, ,Australia,coal,Proposed,-32.60700995,151.0901636,Approximate,Coal & Allied,Yancoal Australia Ltd [100.0%],,Underground,,500.0,Bituminous,Thermal & Met,132.5,0.1768433,0.11115302,0.12367257,0.12408363,0.13160507,0.1299289,0.124161586,0.13774788,0.14478473,0.16042879,0.16228724,0.16426663
M0078,Mt Thorley Warkworth Coal Mine, ,Australia,coal,Operating,-32.60700995,151.0901636,Exact,Coal & Allied,Yancoal Australia Ltd [100.0%],8.1,Surface,,60.0,Bituminous,Thermal & Met,42.5,0.1768433,0.11115302,0.12367257,0.12408363,0.13160507,0.1299289,0.124161586,0.13774788,0.14478473,0.16042879,0.16228724,0.16426663
M0079,Muswellbrook No. 2 Coal Mine, ,Australia,coal,Shelved,-32.244988,150.941392,Exact,Idemitsu Australia Resources Pty Ltd,Idemitsu Kosan Co Ltd [100.0%],,Surface,,60.0,Bituminous,,71.4,0.18531254,0.1251365,0.11448987,0.14144865,0.14250362,0.07512286,0.14823975,0.15812653,0.121733665,0.16590162,0.1624611,0.1761516
M0080,Myuna Coal Mine, ,Australia,coal,Operating,-33.060111,151.568738,Exact,Centennial Myuna Pty Ltd,Banpu PCL [100.0%],1.05,Underground,,120.0,Subbituminous,Thermal,2.9,,,,,,,,,,,,
M0081,Narrabri Coal Mine, ,Australia,coal,Proposed,-30.51820371,149.8976794,Exact,Narrabri Coal Joint Venture,Whitehaven Coal Ltd [77.5%]; J-POWER Co Ltd [7.5%]; Upper Horn Investments Ltd [7.5%]; Daewoo Co Ltd [5.0%],,Underground,10,380.0,Bituminous,Thermal,,0.17794779,0.16227072,0.14900383,0.13468304,0.11879873,0.1079866,0.10674475,0.11497677,0.12680808,0.14697859,0.17019865,0.17062917
M0081,Narrabri Coal Mine, ,Australia,coal,Operating,-30.51820371,149.8976794,Exact,Narrabri Coal Joint Venture,Whitehaven Coal Ltd [77.5%]; J-POWER Co Ltd [7.5%]; Upper Horn Investments Ltd [7.5%]; Daewoo Co Ltd [5.0%],4.795,Underground,10,200.0,Bituminous,Thermal,66.0,0.17794779,0.16227072,0.14900383,0.13468304,0.11879873,0.1079866,0.10674475,0.11497677,0.12680808,0.14697859,0.17019865,0.17062917
M0082,New Acland Coal Mine, ,Australia,coal,Proposed,-27.278281,151.710176,Exact,New Acland Coal Pty Limited,New Hope Corp Ltd [100.0%],,Surface,,60.0,Bituminous,Thermal,14.2,0.22566995,0.14768124,0.16244015,0.15015554,0.13118133,0.17499678,0.1625668,0.16124794,0.17033125,0.20316353,0.22095299,0.22278331
