Unit ID,Unit Name,Unit type,Country,Fuel type,Status,Latitude,Longitude,Location accuracy,Owner,Parent,Production (Mtpa),Mine Type,Mine Size (Km2),Mine Depth (m),Coal Type,Coal Grade,GEM Coal Mine Methane Emissions Estimate (MCM/yr),Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
OG0015304,Baskin - Hess Bakken,asset,United States,oil and gas,Operating,48.36718324,-102.6501738,exact,,, , , , , , , ,1.9675628,2.239012,1.0601338,1.465168,0.9234428,0.80609745,0.9300597,0.37295538,0.9977884,1.2571937,2.4146178,1.8094156
OG0015305,Manitou - Hess Bakken,asset,United States,oil and gas,Operating,48.27375377,-102.7752035,exact,,, , , , , , , ,1.8282597,2.1361496,1.0375878,1.4874852,0.9710728,0.77629596,0.871738,0.35278925,0.9906566,1.2232351,2.3642006,1.7378677
OG0015306,Dollar Joe - Hess Bakken,asset,United States,oil and gas,Operating,48.30662177,-103.1612241,exact,,, , , , , , , ,1.635716,1.973184,1.0305293,1.3688229,0.98010087,0.7280632,0.7846936,0.3391967,0.97437227,1.0983475,2.1760755,1.5925493
OG0015307,Ross - Hess Bakken,asset,United States,oil and gas,Operating,48.33928146,-102.370176,exact,,, , , , , , , ,1.9986889,2.2375033,1.0401362,1.5678902,0.855912,0.8336247,0.95032793,0.39701307,0.96689653,1.314551,2.461795,1.8532517
OG0015308,Banks - Hess Bakken,asset,United States,oil and gas,Operating,48.01339057,-103.3580855,exact,,, , , , , , , ,1.737328,2.0486197,1.073768,1.2498902,1.0374155,0.75945497,0.7293175,0.363554,1.0042276,1.1382843,2.3656297,1.7961404
OG0015309,Little Knife - Hess Bakken,asset,United States,oil and gas,shut in,47.46954836,-103.0153447,exact,,, , , , , , , ,2.3511639,2.5437064,1.2264954,1.5105885,1.1405426,0.80103266,0.7909445,0.4196288,1.1147311,1.4273953,2.9465432,2.340337
OG0015310,Elm Tree - Hess Bakken,asset,United States,oil and gas,Operating,48.05329685,-102.7520199,exact,,, , , , , , , ,1.8236332,2.1304173,1.0056163,1.4792273,0.9994662,0.76081896,0.8138922,0.37149602,0.99857926,1.2506075,2.4388018,1.8048421
OG0015311,Cherry Creek - Hess Bakken,asset,United States,oil and gas,Operating,47.73281024,-103.3143397,exact,,, , , , , , , ,2.0552912,2.3040452,1.2335978,1.3016753,1.1551718,0.7973545,0.77900374,0.41171843,1.1067969,1.2529259,2.6644974,2.0749712
OG0015312,Wheelock - Hess Bakken,asset,United States,oil and gas,Operating,48.32355286,-103.2873063,exact,,, , , , , , , ,1.635975,1.9725884,1.0336003,1.3459485,0.9731316,0.731723,0.779032,0.33552757,0.9681454,1.0948697,2.174838,1.6061196
OG0015313,Westberg - Hess Bakken,asset,United States,oil and gas,Operating,47.9909418,-103.0050044,exact,,, , , , , , , ,1.8526726,2.1536179,1.056138,1.3622421,1.0464644,0.75973463,0.7808893,0.3652536,1.0261135,1.2060348,2.4714289,1.8549463
OG0015314,Big Gulch - Hess Bakken,asset,United States,oil and gas,shut in,47.55792718,-102.9704899,exact,,, , , , , , , ,2.2420173,2.4605975,1.1845771,1.4533995,1.0997081,0.7935091,0.7794248,0.39578807,1.0852717,1.371941,2.8309455,2.251818
OG0015315,Ellsworth - Hess Bakken,asset,United States,oil and gas,Operating,47.72827077,-103.4654969,exact,,, , , , , , , ,1.9513115,2.1879268,1.2308064,1.2371948,1.1705722,0.80381835,0.7674627,0.439171,1.0996333,1.1976933,2.5938087,1.9939114
OG0015316,Stanley - Hess Bakken,asset,United States,oil and gas,Operating,48.27233436,-102.3984481,exact,,, , , , , , , ,1.9986889,2.2375033,1.0401362,1.5678902,0.855912,0.8336247,0.95032793,0.39701307,0.96689653,1.314551,2.461795,1.8532517
OG0015317,Ray - Hess Bakken,asset,United States,oil and gas,Operating,48.41651911,-103.1825771,exact,,, , , , , , , ,1.6252605,1.9579134,1.0404935,1.3648881,0.9473138,0.71709657,0.7974291,0.32172903,0.9551701,1.0720422,2.0844014,1.5252035
OG0015318,Murphy Creek - Hess Bakken,asset,United States,oil and gas,shut in,47.269183,-102.6356004,exact,,, , , , , , , ,2.5319657,2.74634,1.1712661,1.8001231,1.0512793,0.80364907,0.7740044,0.3636316,1.0351298,1.6337236,3.1665902,2.6008716
