Unit ID,Unit Name,Unit type,Country,Fuel type,Status,Latitude,Longitude,Location accuracy,Owner,Parent,Production (Mtpa),Mine Type,Mine Size (Km2),Mine Depth (m),Coal Type,Coal Grade,GEM Coal Mine Methane Emissions Estimate (MCM/yr),Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
OG0013175,Antelope Lake Ct Roseray,pool,Canada,oil,Operating,50.244,-108.364,exact,,, , , , , , , ,72.59524,66.77874,56.595276,44.57058,34.069736,27.89302,27.754683,33.785976,44.18434,56.21111,66.62645,72.56041
OG0013178,Antelope Lake N Succ-Rosery,pool,Canada,oil,Operating,50.25,-108.408,exact,,, , , , , , , ,72.69524,66.87874,56.695274,44.670578,34.169735,27.993021,27.854683,33.885975,44.28434,56.31111,66.72645,72.660416
OG0013180,Antelope Lk S U Shaunavon,pool,Canada,oil,Operating,50.21,-108.394,exact,,, , , , , , , ,72.59524,66.77874,56.595276,44.57058,34.069736,27.89302,27.754683,33.785976,44.18434,56.21111,66.62645,72.56041
OG0013181,Antelope Lk U Shaunavon,pool,Canada,oil,Operating,50.287,-108.434,exact,,, , , , , , , ,72.69524,66.87874,56.695274,44.670578,34.169735,27.993021,27.854683,33.885975,44.28434,56.31111,66.72645,72.660416
OG0013183,Arcola Frobisher-Alida,pool,Canada,oil,Operating,49.655,-102.387,exact,,, , , , , , , ,72.09524,66.27874,56.095276,44.07058,33.569736,27.39302,27.254683,33.285976,43.68434,55.71111,66.12645,72.06041
OG0013185,Ashley Lake Tilston,pool,Canada,oil,Operating,49.786,-102.411,exact,,, , , , , , , ,72.19524,66.37874,56.195274,44.170578,33.669735,27.493021,27.354683,33.385975,43.78434,55.81111,66.22645,72.160416
OG0013187,Avon Hill Viking Sand,pool,Canada,oil,Operating,51.533,-109.0,exact,,, , , , , , , ,73.89524,68.07874,57.895275,45.87058,35.369736,29.193022,29.054684,35.085976,45.48434,57.51111,67.926445,73.86041
OG0013188,Baldwinton Sparky,pool,Canada,oil,Operating,52.77,-109.267,exact,,, , , , , , , ,75.19524,69.37874,59.195274,47.170578,36.669735,30.493021,30.354683,36.385975,46.78434,58.81111,69.22645,75.160416
OG0013189,Barthel Colony,pool,Canada,gas,,53.928,-109.162,exact,,, , , , , , , ,76.295235,70.47874,60.295277,48.270576,37.769733,31.593021,31.454683,37.485977,47.88434,59.91111,70.32645,76.260414
OG0013191,Battle Creek S U Shaun,pool,Canada,oil,Operating,49.167,-109.412,exact,,, , , , , , , ,71.59524,65.77874,55.595276,43.57058,33.069736,26.89302,26.754683,32.785976,43.18434,55.21111,65.62645,71.56041
OG0013197,Battrum North Roseray,pool,Canada,oil,Operating,50.579,-108.204,exact,,, , , , , , , ,72.99524,67.17874,56.995274,44.970577,34.469734,28.293022,28.154682,34.185978,44.58434,56.61111,67.02645,72.96041
OG0013198,Battrum Roseray,pool,Canada,oil,Operating,50.537,-108.269,exact,,, , , , , , , ,72.89524,67.07874,56.895275,44.87058,34.369736,28.193022,28.054684,34.085976,44.48434,56.51111,66.926445,72.86041
OG0013199,Bayhurst Viking,pool,Canada,gas,Operating,51.019,-109.419,exact,,, , , , , , , ,73.39524,67.57874,57.395275,45.37058,34.869736,28.693022,28.554684,34.585976,44.98434,57.01111,67.426445,73.36041
OG0013200,Bayhurst West Viking,pool,Canada,gas,,51.097,-109.616,exact,,, , , , , , , ,73.49524,67.67874,57.495274,45.470577,34.969734,28.793022,28.654682,34.685978,45.08434,57.11111,67.52645,73.46041
OG0013201,Beacon Hill Mannville,pool,Canada,gas,Operating,54.399,-109.598,exact,,, , , , , , , ,76.795235,70.97874,60.795277,48.770576,38.269733,32.09302,31.954683,37.985977,48.38434,60.41111,70.82645,76.760414
OG0013202,Beacon Hill S Mannville,pool,Canada,gas,Operating,54.268,-109.563,exact,,, , , , , , , ,76.69524,70.87874,60.695274,48.670578,38.169735,31.993021,31.854683,37.885975,48.28434,60.31111,70.72645,76.660416
OG0013203,Beacon Hill W Mannville,pool,Canada,gas,Operating,54.255,-109.828,exact,,, , , , , , , ,76.69524,70.87874,60.695274,48.670578,38.169735,31.993021,31.854683,37.885975,48.28434,60.31111,70.72645,76.660416
