Unit ID,Unit Name,Unit type,Country,Fuel type,Status,Latitude,Longitude,Location accuracy,Owner,Parent,Production (Mtpa),Mine Type,Mine Size (Km2),Mine Depth (m),Coal Type,Coal Grade,GEM Coal Mine Methane Emissions Estimate (MCM/yr),Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
M0027,Clermont Coal Mine, ,Australia,coal,Operating,-22.7201075,147.6195648,Exact,Clermont Coal Operations Pty Limited,Glencore PLC [37.1%]; Sumitomo Corp [37.1%]; J-Power Australia Pty Ltd [22.2%],10.85,Surface,163.07,60.0,Bituminous,Thermal,57.0,0,0,0,0,0,0,0,0,0,0,0,0
M0028,Collinsville Coal Mine, ,Australia,coal,Operating,-20.5567302,147.8148229,Exact,NC Coal Company Pty Ltd,Glencore PLC [100.0%],3.583,Surface,,60.0,Bituminous,Thermal & Met,18.8,0,0,0,0,0,0,0,0,0,0,0,0
M0029,Commodore Coal Mine, ,Australia,coal,Operating,-27.9343501,151.2554422,Exact,Downer EDI,Downer EDI Ltd [100%],3.507,Surface,,60.0,Bituminous,Thermal,18.4,0,0,0,0,0,0,0,0,0,0,0,0
M0029,Commodore Coal Mine, ,Australia,coal,Proposed,-27.9343501,151.2554422,Exact,Downer EDI,Downer EDI Ltd [100%],,Surface,,60.0,Bituminous,Thermal,2.1,0,0,0,0,0,0,0,0,0,0,0,0
M0030,Cows Coal Mine, ,Australia,coal,Operating,-20.63668673,147.85009,Exact,QCoal,QCoal [100%],,Surface,,60.0,Bituminous,Thermal & Met,5.3,0,0,0,0,0,0,0,0,0,0,0,0
M0031,Curragh Coal Mine, ,Australia,coal,Proposed,-23.493219,148.842723,Exact,Coronado Global Resources Inc,Coronado Global Resources Inc [100%],,Underground,,500.0,Bituminous,Thermal,,0,0,0,0,0,0,0,0,0,0,0,0
M0031,Curragh Coal Mine, ,Australia,coal,Operating,-23.493219,148.842723,Exact,Coronado Global Resources Inc,Coronado Global Resources Inc [100%],12.161,Surface,126,60.0,Bituminous,Thermal & Met,63.8,0,0,0,0,0,0,0,0,0,0,0,0
M0032,Daunia Coal Mine, ,Australia,coal,Operating,-22.0410919,148.2702015,Exact,BHP Billiton Mitsubishi Alliance Pty Ltd,BHP Group Ltd [50.0%]; Mitsubishi Corp [50.0%],3.651,Surface,,60.0,Bituminous,Thermal & Met,19.2,0,0,0,0,0,0,0,0,0,0,0,0
M0033,Dawson Complex, ,Australia,coal,Operating,-24.6168211,150.0504833,Exact,Dawson Joint Venture,Anglo American PLC [51.0%]; Mitsui & Co Ltd [49.0%],6.087,Surface,,60.0,Bituminous,Thermal & Met,32.0,0,0,0,0,0,0,0,0,0,0,0,0
M0034,Dendrobium Coal Mine, ,Australia,coal,Operating,-34.419776,150.826135,Exact,Illawarra Coal,South32 Ltd [100.0%],2.61,Underground,,350.0,Bituminous,Met,49.2,0,0,0,0,0,0,0,0,0,0,0,0
M0034,Dendrobium Extension Project, ,Australia,coal,Cancelled,-34.419776,150.826135,Exact,Illawarra Coal,South32 Ltd [100.0%],,Underground,,350.0,Bituminous,Met,,0,0,0,0,0,0,0,0,0,0,0,0
M0035,Drake Coal Mine, ,Australia,coal,Operating,-20.705189,147.812727,Exact,QCoal,QCoal [100%],5.312,Surface,,60.0,Bituminous,Thermal & Met,27.9,0,0,0,0,0,0,0,0,0,0,0,0
M0036,Dysart East Coal Project, ,Australia,coal,Proposed,-22.550335,148.414404,Approximate,Mastermyne Group,Metarock Group Ltd [100%],,Underground,,500.0,Bituminous,Met,42.0,0,0,0,0,0,0,0,0,0,0,0,0
M0037,Eagle Downs Coal Project, ,Australia,coal,Cancelled,-22.189318,148.204249,Exact,Aquila; South33,Aquila [100%],,Underground,45,500.0,Bituminous,Met,77.3,0,0,0,0,0,0,0,0,0,0,0,0
M0037,Eagle Downs Coal Project, ,Australia,coal,Cancelled,-22.189318,148.204249,Exact,Aquila; South32,Aquila [100%],,Underground,45,500.0,Bituminous,Met,99.4,0,0,0,0,0,0,0,0,0,0,0,0
M0038,Ensham Coal Mine, ,Australia,coal,Operating,-23.454464,148.497455,Exact,Sungela,Thungela Resources Ltd [75.0%]; Audley Energy Ltd [12.5%]; Mayfair Corporations Group Pty Ltd [12.5%],3.91,Underground & Surface,27.37,210.0,Subbituminous,Thermal,16.3,0,0,0,0,0,0,0,0,0,0,0,0
M0038,Ensham Coal Mine, ,Australia,coal,Proposed,-23.454464,148.497455,Exact,Sungela,Thungela Resources Ltd [75.0%]; Audley Energy Ltd [12.5%]; Mayfair Corporations Group Pty Ltd [12.5%],,Underground & Surface,,210.0,Subbituminous,Thermal,,0,0,0,0,0,0,0,0,0,0,0,0
M0039,Ewington Coal Mine, ,Australia,coal,Operating,-33.3624,116.25,Exact,Griffin Coal Mining Company Pty Ltd,Lanco Resources Australia Pty Ltd [100.0%],2,Surface,,60.0,Bituminous,Thermal & Met,10.5,0,0,0,0,0,0,0,0,0,0,0,0
M0040,Foxleigh Coal Mine, ,Australia,coal,Operating,-22.997778,148.803889,Exact,Middlemount South Limited,QMetco Ltd [100.0%],3.42,Surface,,60.0,Bituminous,Met,18.0,0,0,0,0,0,0,0,0,0,0,0,0
M0041,Galilee Coal Mine, ,Australia,coal,Shelved,-23.498536,145.94229,Approximate,Waratah Coal Pty Ltd,Mineralogy Pty Ltd [100.0%],,Underground & Surface,120,60.0,Subbituminous,Thermal,54.0,0,0,0,0,0,0,0,0,0,0,0,0
M0042,Glendell Coal Mine, ,Australia,coal,Shelved,-32.45121527,151.0783194,Exact,Mt Owen Pty Limited,Glencore PLC [100.0%],,Surface,6.6,60.0,Bituminous,Thermal,28.9,0,0,0,0,0,0,0,0,0,0,0,0
