Unit ID,Unit Name,Unit type,Country,Fuel type,Status,Latitude,Longitude,Location accuracy,Owner,Parent,Production (Mtpa),Mine Type,Mine Size (Km2),Mine Depth (m),Coal Type,Coal Grade,GEM Coal Mine Methane Emissions Estimate (MCM/yr),Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
M0087,Peak Downs Coal Mine, ,Australia,coal,Operating,-22.2548999,148.1796569,Exact,BHP Billiton Mitsubishi Alliance Pty Ltd,BHP Group Ltd [50.0%]; Mitsubishi Corp [50.0%],18.544,Surface,,60.0,Bituminous,Met,97.4,0.46118957,0.3550697,0.5576152,0.5242878,0.7025553,0.6272239,0.693957,0.7850562,0.6446603,0.71330357,0.6486339,0.37284172
M0087,Peak Downs Coal Mine, ,Australia,coal,Proposed,-22.2548999,148.1796569,Exact,BHP Billiton Mitsubishi Alliance Pty Ltd,BHP Group Ltd [50.0%]; Mitsubishi Corp [50.0%],,Surface,,60.0,Bituminous,Met,47.3,0.46118957,0.3550697,0.5576152,0.5242878,0.7025553,0.6272239,0.693957,0.7850562,0.6446603,0.71330357,0.6486339,0.37284172
M0088,Poitrel Coal Mine, ,Australia,coal,Operating,-22.06650421,148.2551254,Exact,Stanmore SMC Pty Ltd,Stanmore Resources Ltd [100.0%],5.422,Surface,,60.0,Bituminous,Met,28.5,0.45737907,0.375385,0.5546167,0.5156521,0.6921061,0.65554523,0.7004581,0.8295266,0.64083064,0.7302934,0.54563767,0.34521788
M0089,Premier Coal Mine, ,Australia,coal,Operating,-33.391728,116.286509,Exact,Yancoal Australia Ltd,Yancoal Australia Ltd [100%],2.8,Surface,130,50.0,Subbituminous,Thermal & Met,3.4,0.81192714,0.67406994,0.58063716,0.49289304,0.4852352,0.3656579,0.40063742,0.45318815,0.3890277,0.46167818,0.41060275,0.70184535
M0090,Range Coal Project, ,Australia,coal,Cancelled,-26.230392,150.272257,Exact,Stanmore Resources Ltd,Stanmore Resources Ltd [100%],,Surface,52.26,60.0,Bituminous,Thermal,26.3,0.48317164,0.5621416,0.5666804,0.58580315,0.6087517,0.78021157,0.53943276,0.7390865,0.70013165,0.6495687,0.47366148,0.53337425
M0091,Ravensworth Coal Mine, ,Australia,coal,Operating,-32.4426478,151.0063967,Exact,Ravensworth Operations Pty Limited,Glencore PLC [100.0%],12.8,Surface,,60.0,Bituminous,Thermal,67.2,0.3909052,0.25988117,0.38397056,0.5710662,0.5776378,0.41948363,0.60081923,0.5688087,0.57241046,0.44207147,0.41354442,0.4854792
M0092,Red Hill Coal Project, ,Australia,coal,Shelved,-21.764098,148.005592,Exact,BHP Billiton Mitsubishi Alliance Pty Ltd,BHP Group Ltd [50.0%]; Mitsubishi Corp [50.0%],,Underground,,500.0,Bituminous,Met,309.1,0.45092428,0.3737596,0.57721424,0.5559499,0.6994184,0.66999316,0.6808832,0.8026854,0.6906846,0.7409148,0.5622358,0.39698666
M0093,Rix Creek Coal Mine, ,Australia,coal,Operating,-32.52393559,151.1208768,Exact,Bloomfield Collieries Pty Ltd,Bloomfield Group [100.0%],5.15,Underground & Surface,,60.0,Bituminous,Thermal & Met,27.0,0.4297368,0.255807,0.3930239,0.591466,0.60018134,0.44307688,0.6103695,0.60729855,0.5548115,0.46858072,0.44215277,0.48351264
M0093,Rix Creek Coal Mine, ,Australia,coal,Proposed,-32.52393559,151.1208768,Exact,Bloomfield Collieries Pty Ltd,Bloomfield Group [100.0%],,Underground & Surface,,60.0,Bituminous,Thermal & Met,,0.4297368,0.255807,0.3930239,0.591466,0.60018134,0.44307688,0.6103695,0.60729855,0.5548115,0.46858072,0.44215277,0.48351264
M0094,Rolleston Coal Mine, ,Australia,coal,Operating,-24.456609,148.404902,Exact,Rolleston Coal Holdings Pty Ltd,Glencore PLC,13.02,Surface,363,60.0,Bituminous,Thermal,68.4,0.40277582,0.5105198,0.5806642,0.73326683,0.65890104,0.6311539,0.8005914,0.724298,0.6995065,0.6931782,0.6011071,0.38431963
M0094,Rolleston Coal Mine, ,Australia,coal,Shelved,-24.456609,148.404902,Exact,Rolleston Coal Holdings Pty Ltd,Glencore PLC,,Surface,5.6,60.0,Bituminous,Thermal,26.3,0.40277582,0.5105198,0.5806642,0.73326683,0.65890104,0.6311539,0.8005914,0.724298,0.6995065,0.6931782,0.6011071,0.38431963
M0095,Russell Vale Colliery, ,Australia,coal,Mothballed,-34.35566,150.89169,Exact,Wollongong Resources Pty Ltd,Jindal Group [100.0%],,Underground,6.4,500.0,Bituminous,Met,16.3,0.3451646,0.38859808,0.35800147,0.5551714,0.57614183,0.49894476,0.6140865,0.5858435,0.58108556,0.3826237,0.3321041,0.3271675
M0096,Saraji Coal Mine, ,Australia,coal,Operating,-22.371371,148.299848,Exact,BHP Billiton Mitsubishi Alliance Pty Ltd,BHP Group Ltd [50.0%]; Mitsubishi Corp [50.0%],13.995,Surface,120,60.0,Bituminous,Thermal & Met,73.5,0.46011212,0.33750093,0.5559635,0.5247926,0.7064891,0.62955856,0.66707855,0.7886338,0.6220483,0.7254023,0.6507698,0.35617274
M0097,Saraji East Coal Mine, ,Australia,coal,Proposed,-22.371371,148.299848,Exact,BHP Billiton Mitsubishi Alliance Pty Ltd,BHP Group Ltd [50.0%]; Mitsubishi Corp [50.0%],,Underground,,35.0,Bituminous,Met,18.8,0.46011212,0.33750093,0.5559635,0.5247926,0.7064891,0.62955856,0.66707855,0.7886338,0.6220483,0.7254023,0.6507698,0.35617274
M0098,Sonoma Coal Mine, ,Australia,coal,Operating,-20.62,147.86,Exact,QCoal,QCoal [100%],0.83,Surface,,60.0,Bituminous,Thermal & Met,4.4,0.44297954,0.35284397,0.52158797,0.51537097,0.6732876,0.68816817,0.72122127,0.7261466,0.60563666,0.6977155,0.5958021,0.39635664
M0099,South Walker Creek Coal Mine, ,Australia,coal,Operating,-21.753393,148.443289,Exact,Stanmore SMC Pty Ltd,Stanmore Resources Ltd [100.0%],8.007,Surface,,60.0,Bituminous,Met,42.0,0.4489473,0.3578795,0.48723954,0.44936812,0.61392504,0.6538891,0.68903303,0.83254415,0.63482046,0.70046353,0.5074465,0.38336033
