country,sensor,date,validation,1,2,3,4,5,6,7,8,9,10,11,12
Syria,Sentinel-5P/TROPOMI - ESA,09/09/2022,0,2,2,2,2,2,1,1,1,1,2,2,2
India,Sentinel-5P/TROPOMI - ESA,22/12/2022,1,2,2,2,2,2,2,0,1,1,2,2,2
Kazakhstan,Sentinel-5P/TROPOMI - ESA,20/09/2021,1,1,2,2,2,2,2,2,2,2,2,1,1
Algeria,Sentinel-5P/TROPOMI - ESA,26/02/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
Spain,Sentinel-5P/TROPOMI - ESA,19/12/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
China,Sentinel-5P/TROPOMI - ESA,28/04/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,11/07/2020,0,1,1,1,1,1,1,1,1,1,1,1,1
Spain,Sentinel-5P/TROPOMI - ESA,02/01/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,17/10/2019,1,0,2,2,2,2,2,2,2,2,2,2,0
Russia,Sentinel-5P/TROPOMI - ESA,18/04/2022,1,0,1,2,2,2,2,1,1,1,1,0,0
India,Sentinel-5P/TROPOMI - ESA,13/03/2023,1,2,2,2,2,2,2,0,0,0,2,2,2
Libya,Sentinel-5P/TROPOMI - ESA,23/01/2020,1,2,2,2,2,2,2,1,2,2,2,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,28/11/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
China,Sentinel-5P/TROPOMI - ESA,01/11/2024,1,2,2,2,2,2,2,2,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,27/11/2022,1,2,2,2,2,2,1,0,0,1,2,2,2
Argentina,Sentinel-5P/TROPOMI - ESA,23/09/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
Pakistan,Sentinel-5P/TROPOMI - ESA,15/11/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,10/03/2023,1,0,1,2,2,2,2,2,2,2,2,1,0
Kuwait,Sentinel-5P/TROPOMI - ESA,31/01/2019,1,2,2,2,2,2,1,2,2,2,2,2,2
Uzbekistan,Sentinel-5P/TROPOMI - ESA,23/09/2023,1,2,2,2,2,2,1,1,1,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,08/01/2023,0,0,0,1,2,2,1,2,1,0,0,0,0
USA,Sentinel-5P/TROPOMI - ESA,10/01/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
Iraq,Sentinel-5P/TROPOMI - ESA,28/12/2019,1,2,2,2,2,2,1,1,1,2,2,2,2
Syria,Sentinel-5P/TROPOMI - ESA,12/06/2021,0,2,2,2,2,2,1,1,1,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,30/09/2020,1,1,2,2,2,2,2,2,2,2,2,1,1
USA,Sentinel-5P/TROPOMI - ESA,14/12/2021,1,2,2,2,2,2,2,2,1,2,2,2,2
Uzbekistan,Sentinel-5P/TROPOMI - ESA,18/11/2021,1,2,2,2,2,2,1,1,1,2,2,2,2
Kazakhstan,Sentinel-5P/TROPOMI - ESA,19/02/2023,1,1,2,2,2,2,2,2,2,2,2,1,1
India,Sentinel-5P/TROPOMI - ESA,14/12/2021,1,2,2,2,2,2,2,0,1,1,2,2,2
Syria,Sentinel-5P/TROPOMI - ESA,16/04/2023,1,2,2,2,2,2,1,1,1,2,2,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,19/10/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
Iran,Sentinel-5P/TROPOMI - ESA,13/02/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
Pakistan,Sentinel-5P/TROPOMI - ESA,01/01/2022,0,1,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,08/03/2022,0,0,0,0,2,2,2,2,2,1,0,0,0
Russia,Sentinel-5P/TROPOMI - ESA,13/07/2021,0,0,0,1,1,1,1,1,1,1,0,0,0
Libya,Sentinel-5P/TROPOMI - ESA,12/02/2020,1,2,2,2,2,2,2,1,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,28/04/2023,0,0,0,1,1,0,1,1,1,1,0,0,0
Russia,Sentinel-5P/TROPOMI - ESA,14/10/2019,1,1,1,1,1,2,2,2,2,2,2,2,0
Pakistan,Sentinel-5P/TROPOMI - ESA,12/02/2020,1,2,2,2,2,2,1,1,1,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,29/09/2020,0,0,1,2,2,2,2,2,2,1,1,0,0
USA,Sentinel-5P/TROPOMI - ESA,10/07/2019,1,2,2,2,2,1,2,2,2,2,2,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,12/10/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,17/01/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
China,Sentinel-5P/TROPOMI - ESA,28/12/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,23/12/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
Iraq,Sentinel-5P/TROPOMI - ESA,10/07/2019,0,2,2,2,2,2,1,1,2,2,2,2,2
China,Sentinel-5P/TROPOMI - ESA,16/11/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,30/06/2019,0,0,0,1,2,2,1,2,2,1,0,0,0
South Africa,Sentinel-5P/TROPOMI - ESA,30/05/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,29/06/2022,1,0,1,1,2,1,2,1,1,1,1,0,0
India,Sentinel-5P/TROPOMI - ESA,24/12/2022,1,2,2,2,2,2,2,0,1,1,2,2,2
Morocco,Sentinel-5P/TROPOMI - ESA,10/08/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,28/12/2022,1,2,2,2,2,2,2,0,1,1,2,2,2
Ukraine,Sentinel-5P/TROPOMI - ESA,19/10/2019,1,0,1,2,2,2,2,2,2,2,2,0,0
India,Sentinel-5P/TROPOMI - ESA,01/05/2022,1,2,2,2,2,2,2,0,0,1,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,27/09/2021,1,2,1,2,2,1,2,2,2,2,2,2,2
Canada,Sentinel-5P/TROPOMI - ESA,18/09/2019,1,0,1,1,1,1,1,1,2,2,1,1,0
India,Sentinel-5P/TROPOMI - ESA,26/12/2022,0,2,2,2,2,2,2,0,0,0,2,2,1
Spain,Sentinel-5P/TROPOMI - ESA,13/12/2021,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Sentinel-5P/TROPOMI - ESA,02/11/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
Spain,Sentinel-5P/TROPOMI - ESA,01/06/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,18/05/2023,1,0,1,2,2,2,2,2,2,1,1,1,0
China,Sentinel-5P/TROPOMI - ESA,01/03/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,24/08/2022,1,0,1,2,2,2,2,2,2,2,2,0,0
Russia,Sentinel-5P/TROPOMI - ESA,09/01/2023,0,0,0,1,2,2,1,2,1,0,0,0,0
Pakistan,Sentinel-5P/TROPOMI - ESA,01/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,Sentinel-5P/TROPOMI - ESA,18/12/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
Pakistan,Sentinel-5P/TROPOMI - ESA,10/02/2023,1,2,2,2,2,2,1,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,07/06/2022,0,0,0,2,2,2,1,2,2,1,0,0,0
Uzbekistan,Sentinel-5P/TROPOMI - ESA,26/09/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,27/01/2022,1,2,2,2,2,2,2,1,1,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,11/12/2021,1,2,1,2,2,2,2,2,2,2,2,2,2
Iran,Sentinel-5P/TROPOMI - ESA,30/11/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,08/02/2022,0,0,0,1,2,2,1,2,1,1,0,0,0
Russia,Sentinel-5P/TROPOMI - ESA,06/03/2020,1,0,1,2,2,2,2,2,2,1,2,0,0
Russia,Sentinel-5P/TROPOMI - ESA,19/04/2023,0,0,0,1,1,1,1,1,1,1,0,0,0
Russia,Sentinel-5P/TROPOMI - ESA,19/07/2021,0,0,0,1,1,1,1,1,1,1,0,0,0
USA,Sentinel-5P/TROPOMI - ESA,29/09/2021,1,2,2,2,2,2,2,2,2,2,2,2,2
Pakistan,Sentinel-5P/TROPOMI - ESA,12/11/2021,1,2,2,2,2,2,2,2,2,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,01/04/2021,1,2,2,2,2,2,2,1,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,04/07/2023,1,0,0,1,1,0,2,2,1,1,0,0,0
Kazakhstan,Sentinel-5P/TROPOMI - ESA,11/12/2023,0,1,2,2,2,2,2,2,2,2,2,1,1
Kuwait,Sentinel-5P/TROPOMI - ESA,28/02/2021,1,2,2,2,2,2,1,2,2,2,2,2,2
Poland,Sentinel-5P/TROPOMI - ESA,03/02/2023,0,1,1,2,2,0,2,1,2,1,1,1,1
Mexico,Sentinel-5P/TROPOMI - ESA,24/11/2020,0,2,1,2,1,2,2,2,2,1,2,1,2
India,Sentinel-5P/TROPOMI - ESA,26/11/2022,1,2,2,2,2,2,2,1,1,1,2,2,2
Spain,Sentinel-5P/TROPOMI - ESA,28/12/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
Iran,Sentinel-5P/TROPOMI - ESA,08/12/2021,1,2,2,2,2,2,2,2,2,2,2,2,2
Australia,Sentinel-5P/TROPOMI - ESA,20/07/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
