,Country,2022,2023,Code_x,Code_y,EU Member,GMP,APAC,OECD,AME,G20,G7
38,Egypt,0.5,0.8600000143051,EGY,EGY,0.0,1.0,0.0,0.0,1.0,0.0,0.0
39,Nigeria,0.0120000001043081,0.65,NGA,NGA,0.0,1.0,0.0,0.0,1.0,0.0,0.0
40,Venezuela,0.420187999010086,0.5100000095,VEN,,,,,,,,
41,Italy,0.444000005722046,0.50999999046,ITA,ITA,1.0,1.0,0.0,1.0,0.0,1.0,1.0
42,Morocco,0.30000001192093,0.30000001192093,MAR,MAR,0.0,1.0,0.0,0.0,1.0,0.0,0.0
43,Kenya,0.2160000056028,0.25,KEN,KEN,0.0,1.0,0.0,0.0,1.0,0.0,0.0
44,Norway,0.2240000069,0.24,NOR,NOR,0.0,1.0,0.0,1.0,0.0,0.0,0.0
45,Netherlands,0.2879999876022,0.24,NLD,NLD,1.0,1.0,0.0,1.0,0.0,0.0,0.0
46,Sweden,0.2039999961853027,0.21,SWE,SWE,1.0,1.0,0.0,1.0,0.0,0.0,0.0
47,Tanzania,0.1800000072,0.20000000298023,TZA,TZA,0.0,0.0,0.0,0.0,1.0,0.0,0.0
48,Israel,0.16,0.1700000018,ISR,ISR,0.0,1.0,0.0,1.0,1.0,0.0,0.0
49,Senegal,0.13,0.15000000596046,SEN,SEN,0.0,1.0,0.0,0.0,1.0,0.0,0.0
50,Peru,0.1480000019073,0.140000000596046,PER,PER,0.0,1.0,0.0,0.0,0.0,0.0,0.0
51,Denmark,0.1560000032186507,0.13,DNK,DNK,1.0,1.0,0.0,1.0,0.0,0.0,0.0
52,Ethiopia,0.20000000298023,0.10000000149012,ETH,ETH,0.0,1.0,0.0,0.0,1.0,0.0,0.0
53,Botswana,0.084,0.0900000036,BWA,BWA,0.0,0.0,0.0,0.0,1.0,0.0,0.0
54,Jordan,0.088,0.0900000036,JOR,JOR,0.0,1.0,0.0,0.0,1.0,0.0,0.0
55,Argentina,0.06,0.06,ARG,ARG,0.0,1.0,0.0,0.0,0.0,1.0,0.0
56,Estonia,0.07199999690056,0.06,EST,EST,1.0,1.0,0.0,1.0,0.0,0.0,0.0
57,Lebanon,0.04800000042,0.050000000745058,LBN,LBN,0.0,1.0,0.0,0.0,1.0,0.0,0.0
58,Slovenia,0.052000001073,0.050000000745058,SVN,SVN,1.0,1.0,0.0,1.0,0.0,0.0,0.0
59,Yemen,0.02800000086,0.03,YEM,YEM,0.0,1.0,0.0,0.0,1.0,0.0,0.0
60,Benin,0.02800000086,0.03,BEN,BEN,0.0,1.0,0.0,0.0,1.0,0.0,0.0
61,Brunei,0.0240000002086,0.02,BRN,BRN,0.0,0.0,1.0,0.0,0.0,0.0,0.0
62,Algeria,0.00400000019,0.02,DZA,DZA,0.0,0.0,0.0,0.0,1.0,0.0,0.0
63,Syria,,0.0,SYR,SYR,0.0,0.0,0.0,0.0,1.0,0.0,0.0
64,Paraguay,,0.0,PRY,PRY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Niger,0.00400000019,0.0,NER,NER,0.0,1.0,0.0,0.0,1.0,0.0,0.0
66,Namibia,,0.0,NAM,NAM,0.0,1.0,0.0,0.0,1.0,0.0,0.0
67,Cuba,,0.0,CUB,CUB,0.0,1.0,0.0,0.0,0.0,0.0,0.0
68,Uruguay,,0.0,URY,URY,0.0,1.0,0.0,0.0,0.0,0.0,0.0
69,Bolivia,0.00400000019,0.0,BOL,,,,,,,,
