plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,cmf_type,plume_bounds,instrument,published_at,plume_png_object,plume_tif_object,rgb_png_object,rgb_tif_object,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider
ang20171013t204512-A,35.32914231,-119.6685722,2017-10-13T20:45:12+00,Oil & Gas (1B2),CH4,mf,"[-119.67072945305273, 35.32705936836296, -119.66682951010667, 35.330214167537356]",ang,2023-05-14 20:21:18.069515+00:00,,,,,87.0,48.0,1.85,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171013t205013-A,35.317453,-119.671091,2017-10-13T20:50:13+00,Oil & Gas (1B2),CH4,mf,"[-119.67297694065363, 35.315677663627845, -119.66894755489153, 35.31893763034229]",ang,2023-05-14 20:21:18.061831+00:00,,,,,192.0,71.0,1.97,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171013t205013-B,35.316767328306156,-119.670923223176,2017-10-13T20:50:13+00,Oil & Gas (1B2),CH4,mf,"[-119.67292372289603, 35.31531301840535, -119.6688943553184, 35.31857298510847]",ang,2024-02-27 20:15:35.474630+00:00,,,,,72.51806317598694,53.8700395676482,2.142578125,0.450439453125,35.76432873957456,7.208377107256062,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171013t205013-C,35.31589,-119.67047,2017-10-13T20:50:13+00,Oil & Gas (1B2),CH4,mf,"[-119.67251888898709, 35.314379949025025, -119.66848956861996, 35.31763991514423]",ang,2024-02-27 20:15:37.398598+00:00,,,,,80.54593909537523,29.86602992433728,2.142578125,0.450439453125,35.76432873957456,7.208377107256062,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171013t205013-D,35.318704,-119.660063,2017-10-13T20:50:13+00,Oil & Gas (1B2),CH4,mf,"[-119.6623221549214, 35.317004010301666, -119.65829273074486, 35.32026395462764]",ang,2023-05-14 20:21:18.061948+00:00,,,,,165.0,42.0,1.97,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171013t205013-E,35.318845,-119.666378,2017-10-13T20:50:13+00,Oil & Gas (1B2),CH4,mf,"[-119.66834834446365, 35.31717040291921, -119.66431889663941, 35.32043035967053]",ang,2023-05-14 20:21:18.061889+00:00,,,,,108.0,28.0,1.97,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171013t205013-F,35.316186,-119.669865,2017-10-13T20:50:13+00,Oil & Gas (1B2),CH4,mf,"[-119.67193553988308, 35.31447562314521, -119.66790621627001, 35.317735588034026]",ang,2023-05-14 20:21:18.062008+00:00,,,,,86.0,22.0,1.97,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171013t205946-A,35.347035,-119.657501,2017-10-13T20:59:46+00,Oil & Gas (1B2),CH4,mf,"[-119.65894082920258, 35.34591839628225, -119.65621027092055, 35.34816448601176]",ang,2023-05-14 20:21:18.059116+00:00,,,,,44.0,29.0,1.57,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171013t211009-A,35.32914231,-119.6685722,2017-10-13T21:10:09+00,Oil & Gas (1B2),CH4,mf,"[-119.6695686693741, 35.327626434177375, -119.66683870658694, 35.329872542444726]",ang,2023-05-14 20:21:18.074067+00:00,,,,,132.0,45.0,2.43,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171013t211934-A,35.302579,-119.68979,2017-10-13T21:19:34+00,Oil & Gas (1B2),CH4,mf,"[-119.69106468617441, 35.29847536356826, -119.68441270920448, 35.30392218791229]",ang,2023-05-14 20:23:24.220562+00:00,,,,,489.0,236.0,3.31,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
